gene	source	n_strong_consensus_pathways	example_pathways	crispr_effect	crispr_p	crispr_fdr	crispr_direction
ILF3	resistance_consensus_leading_edge	2	hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_G2M_CHECKPOINT	-0.4762576012132209	0.1750498763782072	0.7909727675032434	nonsignificant_sensitising_direction
INO80C	resistance_consensus_leading_edge	1	go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION	-0.3721357904115319	0.1674720949830631	0.7909727675032434	nonsignificant_sensitising_direction
LRP10	resistance_consensus_leading_edge	3	go_bp:GOBP_EAR_DEVELOPMENT;go_bp:GOBP_SENSORY_ORGAN_DEVELOPMENT;hallmark:HALLMARK_HEME_METABOLISM	-0.4206663146489564	0.1696686519074676	0.7909727675032434	nonsignificant_sensitising_direction
NEDD9	resistance_consensus_leading_edge	19	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CELL_SUBSTRATE_ADHESION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_LEUKOCYTE_CHEMOTAXIS	-0.4124793023576547	0.1716107271944729	0.7909727675032434	nonsignificant_sensitising_direction
PGAM2	resistance_consensus_leading_edge	1	go_bp:GOBP_NOTCH_SIGNALING_PATHWAY	-0.497459800555637	0.1699383904274916	0.7909727675032434	nonsignificant_sensitising_direction
PHF3	resistance_consensus_leading_edge	1	hallmark:HALLMARK_UV_RESPONSE_DN	-0.5714461757074929	0.1764515578342579	0.7909727675032434	nonsignificant_sensitising_direction
PLK4	resistance_consensus_leading_edge	6	hallmark:HALLMARK_E2F_TARGETS;hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE;hallmark:HALLMARK_G2M_CHECKPOINT;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_MITOTIC_PROMETAPHASE	-0.3315510733292051	0.1743771342699907	0.7909727675032434	nonsignificant_sensitising_direction
PNKD	resistance_consensus_leading_edge	1	go_bp:GOBP_REGULATION_OF_SECRETION	-0.437406627388726	0.1685852603324438	0.7909727675032434	nonsignificant_sensitising_direction
PRICKLE2	resistance_consensus_leading_edge	1	go_bp:GOBP_WNT_SIGNALING_PATHWAY	-0.4458455667077023	0.1676234885996471	0.7909727675032434	nonsignificant_sensitising_direction
PRPH2	resistance_consensus_leading_edge	2	go_bp:GOBP_SENSORY_ORGAN_DEVELOPMENT;go_bp:GOBP_SENSORY_SYSTEM_DEVELOPMENT	-0.4154848402489266	0.1725183032693089	0.7909727675032434	nonsignificant_sensitising_direction
RGCC	resistance_consensus_leading_edge	26	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_EPITHELIAL_CELL_PROLIFERATION;go_bp:GOBP_EPITHELIAL_TO_MESENCHYMAL_TRANSITION;go_bp:GOBP_EXTERNAL_ENCAPSULATING_STRUCTURE_ORGANIZATION	-0.439061476714393	0.1709247128190073	0.7909727675032434	nonsignificant_sensitising_direction
RRM2	resistance_consensus_leading_edge	3	go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT;hallmark:HALLMARK_E2F_TARGETS;reactome:REACTOME_CELL_CYCLE_MITOTIC	-0.5823713478414119	0.1697329327666041	0.7909727675032434	nonsignificant_sensitising_direction
THOC2	resistance_consensus_leading_edge	1	go_bp:GOBP_IN_UTERO_EMBRYONIC_DEVELOPMENT	-0.3116720503811034	0.167015102057164	0.7909727675032434	nonsignificant_sensitising_direction
TP53INP1	resistance_consensus_leading_edge	2	go_bp:GOBP_NEGATIVE_REGULATION_OF_CELL_DIFFERENTIATION;go_bp:GOBP_POSITIVE_REGULATION_OF_PROGRAMMED_CELL_DEATH	-0.3865960709719633	0.1735070600641764	0.7909727675032434	nonsignificant_sensitising_direction
UFC1	resistance_consensus_leading_edge	1	go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY	-0.6318517551839271	0.1718153083051409	0.7909727675032434	nonsignificant_sensitising_direction
ZGPAT	resistance_consensus_leading_edge	7	go_bp:GOBP_NEGATIVE_REGULATION_OF_CATALYTIC_ACTIVITY;go_bp:GOBP_NEGATIVE_REGULATION_OF_KINASE_ACTIVITY;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION;go_bp:GOBP_NEGATIVE_REGULATION_OF_PROTEIN_MODIFICATION_PROCESS	-0.3760848066516509	0.17192190764438	0.7909727675032434	nonsignificant_sensitising_direction
ZNF8	resistance_consensus_leading_edge	2	go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_SERINE_THREONINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_RESPONSE_TO_BMP	-0.4833858821150816	0.1672680887597837	0.7909727675032434	nonsignificant_sensitising_direction
AQP2	resistance_consensus_leading_edge	1	go_bp:GOBP_METANEPHROS_DEVELOPMENT	-0.4439274984278514	0.1798870096366319	0.7920365253113779	nonsignificant_sensitising_direction
