candidate	collection	pathway	candidate_is_member	candidate_is_leading_edge_datasets	interactor_genes_in_pathway	resistance_consensus_class	gse118713_NES	gse118713_FDR	gse240112_NES	gse240112_FDR	gse111151_NES	gse111151_FDR	gse245601_NES	gse245601_FDR
CITED2	reactome	REACTOME_CELLULAR_RESPONSE_TO_HEAT_STRESS	False		CREBBP;EP300	LOW_EVIDENCE	-1.1221141704315485	0.6266890425624259	-0.7409329630284985	1.0	-1.4517336621856978	0.0637998074637455	0.9791927492861586	0.7754629629629629
CITED2	reactome	REACTOME_CELLULAR_RESPONSE_TO_HYPOXIA	True		CREBBP;EP300;EPAS1;HIF1A	MIXED	1.549087632705707	0.1349894120174713	0.7484196985959474	1.0	-0.9140135023079136	0.7919110836677987	-0.9362686832967464	0.8355140987915322
CITED2	reactome	REACTOME_CELLULAR_SENESCENCE	False		TP53	MIXED	1.4371911870619691	0.149114252285855	1.3947055239478168	0.2953007910988042	-0.7351461514060161	0.9961166036392002	1.2415143345937203	0.2893686021049123
CITED2	reactome	REACTOME_CELL_CYCLE_CHECKPOINTS	False		TP53	STRONG_CONSENSUS	-1.5208690994025194	0.0282348579641783	-1.1553780018612652	0.5092096808738488	-1.7101285024908142	9.773304452822268e-05	-1.4674216356123708	0.0199909574069229
CITED2	reactome	REACTOME_CELL_CYCLE_MITOTIC	False		EP300;TP53	STRONG_CONSENSUS	-1.6477488575325732	0.0002725745265973	-0.8098656376131769	1.0	-1.450008126938653	0.0016775931648299	-0.9665018438092808	0.8426541427138763
CITED2	reactome	REACTOME_CHROMATIN_MODIFYING_ENZYMES	False		CREBBP;EP300	MIXED	-0.5547786646349839	1.0	0.7741524429831284	1.0	-1.5712517960080663	0.0039628291183503	-0.8936092946418018	0.9376515184907656
CITED2	reactome	REACTOME_CIRCADIAN_CLOCK	False		CREBBP;EP300;HIF1A	LOW_EVIDENCE	1.0944069060512185	0.688764291996482	1.1311123006684332	0.696868235930736	0.9078553165260708	0.7866343258614922	1.3922232108351753	0.2353035477263722
CITED2	reactome	REACTOME_DDX58_IFIH1_MEDIATED_INDUCTION_OF_INTERFERON_ALPHA_BETA	False		CREBBP;EP300	LOW_EVIDENCE	-0.7241051400112187	1.0	-1.418250430785026	0.2953007910988042	-0.9203044108423564	0.7744740532959328	1.217440919849234	0.4195779866518999
CITED2	reactome	REACTOME_DEUBIQUITINATION	False		EP300;HIF1A;TP53	MIXED	0.7259194390652451	1.0	-0.5981368018307835	1.0	-1.4450759830170836	0.012696534758448	-0.9435623891398796	0.8437037037037037
CITED2	reactome	REACTOME_DISEASES_OF_SIGNAL_TRANSDUCTION_BY_GROWTH_FACTOR_RECEPTORS_AND_SECOND_MESSENGERS	False		CREBBP;EP300;FOXO1;FOXO3;TP53	LOW_EVIDENCE	1.1020156107828258	0.6005494644620566	1.2149306314018824	0.3811816457370259	1.0171827871159052	0.6400750596471674	-1.046790230364102	0.5874643224112341
CITED2	reactome	REACTOME_DNA_DOUBLE_STRAND_BREAK_REPAIR	False		TP53	DIRECTIONAL_CONSENSUS	-1.3318014514348218	0.2337187416214493	-0.6958844606352399	1.0	-1.3426193810329206	0.1233596445088251	-1.5421684862365344	0.0391601037712115
CITED2	reactome	REACTOME_DNA_REPAIR	False		TP53	DIRECTIONAL_CONSENSUS	-1.3646513424618218	0.1464285423073043	-0.6608467092578209	1.0	-1.2096801513129247	0.1140379741376844	-1.3576913905892702	0.0905118504229255
CITED2	reactome	REACTOME_EPIGENETIC_REGULATION_OF_GENE_EXPRESSION	False		EP300	MIXED	-0.6208957729185485	1.0	0.7934316091186928	1.0	-1.3530169806896768	0.0514717559718783	-0.9634598529384678	0.8088996205588133
CITED2	reactome	REACTOME_ESR_MEDIATED_SIGNALING	False		CREBBP;EP300;FOXO3	STRONG_CONSENSUS	-1.7959181363807204	0.0047971938275674	-1.0955459316191007	0.696868235930736	-1.6214986853673143	0.0027740867592108	-1.800414105712448	0.0008724378009806
CITED2	reactome	REACTOME_ESTROGEN_DEPENDENT_GENE_EXPRESSION	False		CREBBP;EP300	STRONG_CONSENSUS	-2.1755651018111584	0.0002725745265973	-1.2812818428740005	0.4208204864679684	-1.788833474201591	0.0025616351004581	-1.8312075715775435	0.0035462026723579
CITED2	reactome	REACTOME_ESTROGEN_DEPENDENT_NUCLEAR_EVENTS_DOWNSTREAM_OF_ESR_MEMBRANE_SIGNALING	False		FOXO3	MIXED	0.9354139898348448	0.9037560052974782	1.2862242829678656	0.5644813402889245	-1.5217640770054377	0.1170059571449893	-1.2031169158828776	0.4856698564593302
CITED2	reactome	REACTOME_EXTRA_NUCLEAR_ESTROGEN_SIGNALING	False		FOXO3	LOW_EVIDENCE	-1.1575292239088537	0.6133632573201292	-0.869856706837604	1.0	-1.3531281247979376	0.1617859256091847	-1.454093480024808	0.1837711118147605
CITED2	reactome	REACTOME_FORMATION_OF_THE_BETA_CATENIN_TCF_TRANSACTIVATING_COMPLEX	False		CREBBP;EP300	DIRECTIONAL_CONSENSUS	1.2919930737285374	0.5650833272153293	1.5842820431422662	0.2953007910988042	1.5824790177991426	0.0643529973497314	-1.5262389985199332	0.1512272865753922
CITED2	reactome	REACTOME_FOXO_MEDIATED_TRANSCRIPTION	True	gse240112,gse245601	CREBBP;EP300;FOXO1;FOXO3	LOW_EVIDENCE	0.966926691280797	0.8784125905168827	1.4126907433348943	0.3811816457370259	0.7451060823716948	0.9655276584317938	1.698971704979924	0.0255517509085222
CITED2	reactome	REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_CELL_CYCLE_GENES	False		FOXO1;FOXO3	LOW_EVIDENCE	0.9760717467672742	0.8706874701812978	1.2836454334118153	0.6448576024221782	0.8555973015370655	0.799749687108886	1.5819253502680932	0.1837711118147605
