gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
PRSS51	2.996168904913216	2.37007832701685	0.0010088604458465	0.116996735088576	sign(log2fc)*-log10(p_value)
AC087430.1	2.9951649339675672	6.04046594058876	0.0010111953551236	0.116996735088576	sign(log2fc)*-log10(p_value)
SRGN	2.993331854708422	2.21682806783053	0.0010154724497653	0.116996735088576	sign(log2fc)*-log10(p_value)
TMPRSS6	2.993285072545133	2.48440306443596	0.0010155818422598	0.116996735088576	sign(log2fc)*-log10(p_value)
RP11-710C12.1	2.988794317082166	2.79202330190084	0.0010261377925309	0.117689036357176	sign(log2fc)*-log10(p_value)
NPAP1	2.976638608301776	3.11475030336693	0.0010552646539316	0.119191284209217	sign(log2fc)*-log10(p_value)
RP11-179B15.5	2.9712062966285573	2.64252768185849	0.0010685471821317	0.119191284209217	sign(log2fc)*-log10(p_value)
RNU1-61P	2.9704232976311165	3.3162848930361	0.0010704754268763	0.119191284209217	sign(log2fc)*-log10(p_value)
RP11-192H23.5	2.9674860046866414	1.58138146375458	0.0010777399837367	0.119191284209217	sign(log2fc)*-log10(p_value)
DAG1	2.9673395922237056	0.768071928989594	0.0010781033804028	0.119191284209217	sign(log2fc)*-log10(p_value)
RP11-710F7.2	2.9581649602479265	2.27908133900222	0.0011011209858012	0.120339938488697	sign(log2fc)*-log10(p_value)
ROR1	2.952020034237637	3.42386457548359	0.0011168117274676	0.12076730113031	sign(log2fc)*-log10(p_value)
ADGRD1	2.9508361130880973	2.63512572730983	0.0011198603982482	0.12076730113031	sign(log2fc)*-log10(p_value)
snoU2_19	2.9499916693693553	1.31468332197105	0.0011220399770506	0.12076730113031	sign(log2fc)*-log10(p_value)
SATB2	2.9494103968358316	1.07863775642715	0.0011235427538792	0.12076730113031	sign(log2fc)*-log10(p_value)
FZD6	2.932183227510314	0.72882907277307	0.0011690060868817	0.122010868352034	sign(log2fc)*-log10(p_value)
EBF2	2.931646588144506	2.55666315420161	0.0011704514711922	0.122010868352034	sign(log2fc)*-log10(p_value)
RP11-615I2.2	2.929724875592121	0.955475895600439	0.0011756420852433	0.122010868352034	sign(log2fc)*-log10(p_value)
KIAA1549L	2.9294603264607906	2.69532152304325	0.0011763584421199	0.122010868352034	sign(log2fc)*-log10(p_value)
VSTM2A-OT1	2.928391380144786	5.62575407668605	0.0011792574262633	0.122010868352034	sign(log2fc)*-log10(p_value)
HLA-F	2.919320111361122	1.40785278185726	0.0012041480553476	0.124117787148577	sign(log2fc)*-log10(p_value)
SLC16A3	2.9109094624425347	1.08625864225113	0.001227695142617	0.125552245188058	sign(log2fc)*-log10(p_value)
APCDD1	2.9096207637594955	2.24491692272876	0.0012313435398664	0.125552245188058	sign(log2fc)*-log10(p_value)
ANTXRL	2.907442061921322	2.89525689736883	0.0012375362753661	0.125669517029593	sign(log2fc)*-log10(p_value)
OLR1	2.9008646848315736	2.36646849006086	0.0012564213718143	0.127116461890792	sign(log2fc)*-log10(p_value)
WNT3A	2.897578574660721	1.98518057314018	0.0012659642024159	0.12754179840423	sign(log2fc)*-log10(p_value)
SLC4A11	2.8906168197883284	1.41896683536954	0.0012864211752665	0.12779382530238	sign(log2fc)*-log10(p_value)
CTD-2349B8.1	2.88463729392995	1.11161113219678	0.0013042555878937	0.129097760681846	sign(log2fc)*-log10(p_value)
HTR1F	2.8796471417122134	4.07785267725866	0.0013193282392394	0.129219783551299	sign(log2fc)*-log10(p_value)
UBE2QL1	2.8751938648478785	1.76492066387807	0.0013329262939613	0.129219783551299	sign(log2fc)*-log10(p_value)
SCARNA17	2.871262145127328	1.0298960899084	0.0013450482224501	0.129219783551299	sign(log2fc)*-log10(p_value)
ZFAND4	2.8703326295754366	0.7010657812853	0.0013479300968204	0.129219783551299	sign(log2fc)*-log10(p_value)
PCDHAC2	2.8693369178702386	0.804173585633499	0.0013510240563074	0.129219783551299	sign(log2fc)*-log10(p_value)
DPP3P2	2.8684086539220552	2.51126932470259	0.0013539148324987	0.129219783551299	sign(log2fc)*-log10(p_value)
PLXNA1	2.859509170983279	0.705953891886044	0.0013819452230982	0.12958731779341	sign(log2fc)*-log10(p_value)
TLE4	2.85712594077788	1.91132120785696	0.0013895496181801	0.12958731779341	sign(log2fc)*-log10(p_value)
ENPP5	2.848183381584861	0.962550180614196	0.0014184584487217	0.131389505902204	sign(log2fc)*-log10(p_value)
RN7SL471P	2.838487553483693	2.91255266573136	0.0014504823433191	0.132980304414642	sign(log2fc)*-log10(p_value)
MT-TG	2.8349178524306833	0.907172767739724	0.001462453774014	0.132980304414642	sign(log2fc)*-log10(p_value)
AL109763.2	2.832255843242636	4.37319200099948	0.0014714454173311	0.132980304414642	sign(log2fc)*-log10(p_value)
KCNK13	2.8313748656935473	2.25947593244834	0.0014744333117678	0.132980304414642	sign(log2fc)*-log10(p_value)
PTPRU	2.8206977104502795	1.47186978055267	0.001511131607434	0.135399367361524	sign(log2fc)*-log10(p_value)
