gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
SLC35E1	0.3422001877259362	0.123443497787792	0.454778382063446	0.785977394043405	sign(log2fc)*-log10(p_value)
NOP16	0.34217078226787634	0.13951798456119	0.454809175499559	0.785977394043405	sign(log2fc)*-log10(p_value)
SLC1A2	0.34213915687477864	0.364504401709414	0.454842295981805	0.785977394043405	sign(log2fc)*-log10(p_value)
APPL1	0.34213292410460144	0.121309690839302	0.454848823690442	0.785977394043405	sign(log2fc)*-log10(p_value)
AL117379.1	0.34192700388864594	0.323135295377581	0.455064540860273	0.786200135389453	sign(log2fc)*-log10(p_value)
SDC3	0.3417978035843841	0.163738780877263	0.455199940286188	0.786200135389453	sign(log2fc)*-log10(p_value)
WNT4	0.3416878845528783	0.172674305110464	0.455315165026754	0.786200135389453	sign(log2fc)*-log10(p_value)
SPR	0.34137903051152674	0.130626785483282	0.455639083359782	0.786200135389453	sign(log2fc)*-log10(p_value)
ACTR6	0.34133821899949207	0.139120560186324	0.455681902678138	0.786200135389453	sign(log2fc)*-log10(p_value)
GPC6	0.3413328466731453	0.314438088572121	0.455687539606847	0.786200135389453	sign(log2fc)*-log10(p_value)
IFITM2	0.3412599380068243	0.151426173339615	0.455764046127359	0.786200135389453	sign(log2fc)*-log10(p_value)
NDUFS4	0.3412413259273351	0.139872918859029	0.455783578722817	0.786200135389453	sign(log2fc)*-log10(p_value)
UAP1	0.3412107252343442	0.124065097322167	0.455815694684045	0.786200135389453	sign(log2fc)*-log10(p_value)
ALYREF	0.34118853783155345	0.142478829032376	0.45583898216565	0.786200135389453	sign(log2fc)*-log10(p_value)
ZNF277	0.341176107109567	0.157593630039895	0.455852029738182	0.786200135389453	sign(log2fc)*-log10(p_value)
MRPL20	0.34085894181544596	0.161682586958431	0.456185060102423	0.786274372305175	sign(log2fc)*-log10(p_value)
THBS3	0.3407757891240733	0.228639767010575	0.456272412460715	0.786274372305175	sign(log2fc)*-log10(p_value)
CPNE2	0.340707161284171	0.175194153670618	0.456344518981915	0.786274372305175	sign(log2fc)*-log10(p_value)
KIF3C	0.3406566230585594	0.210521471225473	0.456397626228645	0.786274372305175	sign(log2fc)*-log10(p_value)
DPF2	0.34064910133586346	0.121853825550099	0.456405530833135	0.786274372305175	sign(log2fc)*-log10(p_value)
AL022328.4	0.3405126540367709	0.388028514824322	0.45654894754338	0.786423715183136	sign(log2fc)*-log10(p_value)
C15orf40	0.34031773862398546	0.126359913040313	0.456753896956006	0.786504052444836	sign(log2fc)*-log10(p_value)
