dataset	collection	pathway	NES	nom_pvalue	fdr	gene_set_size_in_data	n_leading_edge	leading_edge_genes
gse118713	go_bp	GOBP_B_CELL_ACTIVATION	1.0815243901036258	0.26430976430976433	0.5147249219901316	153	44	TNFRSF21;LEF1;AHR;LYN;DOCK11;IRF2BP2;ST3GAL1;ZFP36L1;LFNG;PPP2R3C;TGFB1;SH3KBP1;STAT6;PIK3R3;CLCF1;AKAP17A;ERCC1;BATF;ID2;CASP3;PRKCD;INHA;NDFIP1;DLL1;CDKN1A;EPHB2;CASP8;TOP2B;TPD52;SWAP70;IL11;SUPT6H;ADAM17;HSPD1;SLC39A7;HDAC4;PELI1;LIG4;MFNG;CMTM7;RIF1;RC3H1;SP3;SLC39A10
gse118713	go_bp	GOBP_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	1.0812963090864922	0.3557692307692308	0.5870726495726496	15	3	WNT5A;NGFR;WNT10B
gse118713	go_bp	GOBP_GRANULOCYTE_DIFFERENTIATION	1.080961066348916	0.3602251407129456	0.5891512251866206	26	10	LEF1;L3MBTL3;LYN;SRP54;RUNX1;LBR;TRIB1;CEBPA;SP3;ZBTB46
gse118713	go_bp	GOBP_T_CELL_PROLIFERATION	1.0808023517810499	0.29116117850953205	0.5362038645981725	115	23	TNFRSF21;ANXA1;TGFBR2;NCK2;BID;LGALS3;TGFB1;CORO1A;LMBR1L;WNT4;SLC4A2;PRNP;CEBPB;IL18;AGER;PNP;CASP3;CTNNB1;ELF4;NDFIP1;FYN;SH3RF1;ERBB2
gse118713	go_bp	GOBP_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	1.080737557407304	0.34172661870503596	0.5780773021398171	46	19	IFT20;RALB;RAB3GAP1;FEZ2;PINK1;RAB5A;WIPI1;EPHB2;RAB3GAP2;PIKFYVE;C9orf72;IFT88;MTMR3;MTOR;WDR45;BECN1;SNX7;SH3GLB1;SCFD1
gse118713	go_bp	GOBP_LEUKOCYTE_APOPTOTIC_PROCESS	1.0803399839034955	0.313588850174216	0.5543712809782253	79	25	TNFRSF21;WNT5A;ANXA1;LYN;EBF4;SLC7A11;ST3GAL1;PERP;LGALS3;BCL10;ITPKB;LMBR1L;PLEKHO2;EFNA1;FOXP1;CDKN2A;CTSL;PRKD2;CASP3;MERTK;RAPGEF2;CRKL;ADAM17;GLI3;HIF1A
gse118713	go_bp	GOBP_SMOOTH_MUSCLE_CELL_DIFFERENTIATION	1.0797804757281417	0.3435251798561151	0.5791333385105226	46	11	HEY1;SOX9;RBPMS2;OLFM2;NPNT;ACVR1;TGFB1;TBX3;WNT4;SMARCD3;VEGFA
gse118713	go_bp	GOBP_REGULATION_OF_B_CELL_DIFFERENTIATION	1.0796287155604085	0.3557692307692308	0.5870726495726496	15	4	ZFP36L1;PPP2R3C;ID2;INHA
gse118713	go_bp	GOBP_REGULATION_OF_PHOSPHATASE_ACTIVITY	1.0795754059487208	0.35911602209944754	0.588471930845864	33	14	BMP2;LGALS3;NUAK1;HSP90B1;IKBKB;PPP6R1;MTOR;STYXL1;URI1;MTMR9;TIPRL;PPP1R12A;CDK5RAP3;CRY2
gse118713	go_bp	GOBP_AMINE_BIOSYNTHETIC_PROCESS	-1.0792964629557673	0.34505494505494505	0.579519531682862	23	4	GATA3;PAH;TH;PAOX
gse118713	go_bp	GOBP_TISSUE_HOMEOSTASIS	1.0792009357005248	0.28498293515358364	0.5323448935985072	144	32	SOX9;TSPAN12;F2R;EGFR;MBP;ERRFI1;CXADR;IL20RA;VPS54;PERP;WWTR1;CORO1A;LAMC1;ANKH;COL3A1;SLC4A2;CIB2;VEGFA;CTNNB1;PDK4;TP53INP2;LSR;CHMP4B;SLC1A1;EXT1;PRKCA;LTBP3;SRC;CLN8;STK39;FH;CD2AP
gse118713	go_bp	GOBP_PHOSPHATIDYLSERINE_METABOLIC_PROCESS	1.079129186200726	0.35887850467289717	0.588471930845864	17	11	OSBPL5;ABHD12;OSBPL10;ABHD16A;OSBPL8;PLSCR1;PTDSS1;MBOAT2;LPCAT3;SERINC1;PTDSS2
gse118713	go_bp	GOBP_VIRAL_PROCESS	1.0791218253773718	0.2626865671641791	0.5136877888139374	326	67	CXCL8;HMGA2;ITGB6;SLPI;HS3ST5;FURIN;LEF1;EGFR;MDFIC;ITGAV;ATG16L1;TRIM21;CXADR;SMPD1;ST3GAL1;CHMP4C;TRIM68;TMPRSS4;ZDHHC8;MVB12B;STOM;TYRO3;ITGA5;MITD1;MGAT4A;CTSL;EIF2AK4;TRIM62;CCNT2;PABPC1;ITGB5;USF1;EFNB3;SSB;FMR1;CCNT1;SMARCB1;GSN;CHMP4B;TOP2B;FUT8;NPC1;PPIB;TRIM38;PIKFYVE;PIK3C3;RAB1A;MGAT4B;GTF2B;CTSB;TNIP1;VPS37D;LIG4;TRIM5;MORC2;ATG12;SNX3;TRIM6;STAU1;CHMP5;RAB43;CHD1;OAS1;BECN1;TRIM11;TRIM27;ZC3H12A
gse118713	go_bp	GOBP_PURINE_CONTAINING_COMPOUND_CATABOLIC_PROCESS	-1.0789560567932932	0.2611764705882353	0.511934263727664	113	26	ENO2;FBP1;ALDOC;DHTKD1;TREX1;PPARA;PRTFDC1;NUDT16;NUDT1;IER3;PFKP;CBFA2T3;HPRT1;ABCD1;ARL2;NUDT17;PRKACA;INSR;NUDT3;SAMHD1;MLST8;ADAL;SLC2A6;ZBTB7A;SUCLG2;NUDT13
gse118713	go_bp	GOBP_REGULATION_OF_PRODUCTION_OF_MOLECULAR_MEDIATOR_OF_IMMUNE_RESPONSE	-1.078926550283981	0.2764976958525346	0.5260316810304712	100	22	GATA3;MZB1;APOA1;GPRC5B;CD22;TNFSF13;BST2;PKN1;TREX1;HFE;CD55;XBP1;SLC7A5;TRAF2;NOD1;IL27RA;CUEDC2;MLH1;EXOSC6;HMCES;SPHK2;TGFB3
gse118713	go_bp	GOBP_CALCIUM_ION_IMPORT_ACROSS_PLASMA_MEMBRANE	-1.0787530257943148	0.34968017057569295	0.5822149344096871	16	6	PPP3CA;TRPV3;ATP2B4;PPP3CB;SLC24A1;CACNA1D
gse118713	go_bp	GOBP_REGULATION_OF_CELLULAR_EXTRAVASATION	-1.0786993668145628	0.34130434782608693	0.577928582160565	22	9	CXCL12;CD47;ST3GAL4;CD99;IL27RA;CCL28;MDK;ICAM1;FUT4
