collection	pathway	resistance_consensus_class	resistance_median_NES	resistance_datasets_FDR05	gse245601_NES	gse245601_fdr	crispr_NES	crispr_fdr	candidates_connected	convergence_category
go_bp	GOBP_REGULATION_OF_MACROAUTOPHAGY	LOW_EVIDENCE	0.951493952898212	0	2.0053980076489712	1.901138130111529e-06	1.085782492611386	0.6633646308898268		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_AUTOPHAGOSOME_ASSEMBLY	LOW_EVIDENCE	1.080737557407304	0	2.202697378174557	0.0001293922336481	-0.901308192686912	0.8483287279022539		ACUTE_RESPONSE
go_bp	GOBP_N_ACETYLGLUCOSAMINE_METABOLIC_PROCESS	not_tested_in_resistance		0	1.918932104881792	0.0113092127265273	0.7180286256920857	0.9331436768297168		ACUTE_RESPONSE
go_bp	GOBP_VESICLE_LOCALIZATION	LOW_EVIDENCE	0.909292007760535	0	1.452425358372908	0.0308172097626015	1.1646782992689644	0.5216764941870354		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_ESTABLISHMENT_OF_PROTEIN_LOCALIZATION_TO_MITOCHONDRION	LOW_EVIDENCE	0.912887236921018	0	1.7463460072737025	0.0490548505725815	1.216020416084324	0.5886412185058135		ACUTE_RESPONSE
go_bp	GOBP_DETOXIFICATION	LOW_EVIDENCE	1.1008909529063091	0	1.80668569437304	0.0031090884270021	0.9238217120973016	0.8450714487021419		ACUTE_RESPONSE
go_bp	GOBP_BRANCHING_INVOLVED_IN_MAMMARY_GLAND_DUCT_MORPHOGENESIS	LOW_EVIDENCE	1.1743230450901951	0	-1.852127064142287	0.016832171021306	0.8820216657420531	0.8514771173527654		ACUTE_RESPONSE
hallmark	HALLMARK_XENOBIOTIC_METABOLISM	LOW_EVIDENCE	1.1071009156694886	0	1.4502022117924167	0.0153316548308294	-1.0390052486729215	0.5087505087505088		ACUTE_RESPONSE
reactome	REACTOME_PEROXISOMAL_LIPID_METABOLISM	LOW_EVIDENCE	-1.1827808275258973	0	-1.922185046592432	0.0125019740930501	1.570614514731614	0.1361623159647955		ACUTE_RESPONSE
reactome	REACTOME_CHOLESTEROL_BIOSYNTHESIS	LOW_EVIDENCE	1.2473396088632496	0	2.6597789281649966	1.165057972268552e-13	-1.5744477674792103	0.1405348309619405		ACUTE_RESPONSE
go_bp	GOBP_PROTEASOMAL_PROTEIN_CATABOLIC_PROCESS	LOW_EVIDENCE	0.8282619262352248	0	1.7084231999777373	1.901138130111529e-06				ACUTE_RESPONSE
go_bp	GOBP_STEROL_BIOSYNTHETIC_PROCESS	LOW_EVIDENCE	1.207818452248534	0	2.4917176026369	2.2698421414357272e-08	1.2592772262807037	0.5206724576411137		ACUTE_RESPONSE
go_bp	GOBP_POSITIVE_REGULATION_OF_CELLULAR_CATABOLIC_PROCESS	LOW_EVIDENCE	1.0866757095854591	0	1.8013361727357171	0.0001876744504345	-0.9907830668513344	0.7878260869565218		ACUTE_RESPONSE
go_bp	GOBP_REGULATION_OF_VACUOLE_ORGANIZATION	LOW_EVIDENCE	1.1220813805453451	0	2.2431279231777816	2.272757340152372e-05	-0.8870278225005915	0.8555577414912454		ACUTE_RESPONSE
hallmark	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	LOW_EVIDENCE	1.0813318320475434	0	1.6025864100063127	0.022811953309834	-1.1460270609335916	0.4920172708103223		ACUTE_RESPONSE
reactome	REACTOME_AMINO_ACIDS_REGULATE_MTORC1	LOW_EVIDENCE	1.1195180099320725	0	1.800495294514498	0.0163234453216391	-0.9327536689881784	0.7465348643228565		ACUTE_RESPONSE
go_bp	GOBP_STRIATED_MUSCLE_CELL_DEVELOPMENT	LOW_EVIDENCE	1.2383008466790717	0	-1.879434863958748	0.0029662782422432	-0.8053342843949797	0.9268226751154236		ACUTE_RESPONSE
go_bp	GOBP_FEMALE_GENITALIA_DEVELOPMENT	LOW_EVIDENCE	-0.7487161654026933	0	-1.8733010868662283	0.0111487674042298	0.7544175505815293	0.9181484095290554		ACUTE_RESPONSE
go_bp	GOBP_ENDOPLASMIC_RETICULUM_UNFOLDED_PROTEIN_RESPONSE	LOW_EVIDENCE	0.9299507700707632	0	2.0960590367743968	0.0001918192988422	0.8938662772861004	0.8540363398812786		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_MAGNESIUM_ION	not_tested_in_resistance		0	-2.0039215408266187	0.0020163315157844	-0.6674766904709798	0.9604901669409148		ACUTE_RESPONSE
go_bp	GOBP_RESPONSE_TO_XENOBIOTIC_STIMULUS	LOW_EVIDENCE	1.2302854619667822	0	-1.4191751513624664	0.0187441073140009	-1.1838532505559527	0.3893290750078915		ACUTE_RESPONSE
go_bp	GOBP_VACUOLE_ORGANIZATION	LOW_EVIDENCE	1.1010409140287454	0	2.009161016545116	6.040073787910112e-07	0.90960945893097	0.8798672957124076		ACUTE_RESPONSE
go_bp	GOBP_NUCLEOPHAGY	LOW_EVIDENCE	1.2359388378205405	0	2.141095162205071	0.0004714950555855	0.9788328701538592	0.7937268049715749		ACUTE_RESPONSE
go_bp	GOBP_AUTOPHAGOSOME_ORGANIZATION	LOW_EVIDENCE	1.1345416561924824	0	2.226511569543999	2.85646674779095e-07	0.8820265820982531	0.8851631501656982		ACUTE_RESPONSE
go_bp	GOBP_COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	LOW_EVIDENCE	1.20527535921824	0	2.1820130714348744	0.0002372415645003	0.8423564335700595	0.873319685625528		ACUTE_RESPONSE
go_bp	GOBP_GOLGI_ORGANIZATION	LOW_EVIDENCE	1.045182207213948	0	2.159877358926213	6.786026785020333e-07	-0.9938209045809688	0.7840262777579214		ACUTE_RESPONSE
