gene	ranking_stat	log2fc	p_value	fdr	ranking_stat_method
PML	2.9030368138492872	0.7100979028241374	0.009310269886361676	0.54388708025116	effect_size/se (Wald z)
PRB1	2.8949572668630443	1.3699763535900633	0.009475487014425672	0.548039207736392	effect_size/se (Wald z)
ADD3	2.8858455359353448	0.8589802436742406	0.009665203432812774	0.5520831374368789	effect_size/se (Wald z)
EWSR1	2.884715957267497	0.8227995618317081	0.009688976081012808	0.5520831374368789	effect_size/se (Wald z)
MVB12B	2.8816933776637454	0.5981194808581245	0.00975286552626109	0.5520831374368789	effect_size/se (Wald z)
SPATA31A1	2.8798313227699706	0.8459121564099386	0.00979242639590924	0.5520831374368789	effect_size/se (Wald z)
NCOA6	2.879246362632014	0.7753165886654578	0.009804886235737838	0.5520831374368789	effect_size/se (Wald z)
PRR36	2.8769001541169708	1.1219893502256753	0.009855014912106773	0.5520831374368789	effect_size/se (Wald z)
SNX1	2.872493816415666	0.9305612507351322	0.009949828031119757	0.5540661956120025	effect_size/se (Wald z)
USP37	2.871218823220722	1.0552163147507958	0.009977426126290576	0.5540661956120025	effect_size/se (Wald z)
TAF3	2.867825042939753	0.6967155930217235	0.010051246580234392	0.5549392006422474	effect_size/se (Wald z)
ARID4A	2.864617873523573	0.7925467553046976	0.01012149110368737	0.5549609883476094	effect_size/se (Wald z)
RC3H1	2.858788141283881	1.327926514525334	0.010250388065637914	0.5557140082239678	effect_size/se (Wald z)
C19orf44	2.8572883807249108	0.7484292655119882	0.010283802845367531	0.5557140082239678	effect_size/se (Wald z)
MLLT4	2.8562298053663233	0.7930661338900276	0.010307451070213207	0.5557140082239678	effect_size/se (Wald z)
PLEK	2.8539693346725143	0.7243563863350868	0.01035812455702883	0.555818127564387	effect_size/se (Wald z)
AVPI1	2.8518825622783153	0.8330226421371831	0.01040511693829571	0.5567757671491959	effect_size/se (Wald z)
GDI2	2.8490065530709923	1.2246192036832122	0.010470218551039651	0.5571147480382764	effect_size/se (Wald z)
CRB2	2.8483265182800848	0.7377084883765974	0.010485669065246481	0.5571147480382764	effect_size/se (Wald z)
