sample_id	patient	condition	threshold_group	n_cells	cnv_score_threshold	correlation_threshold	median_cnv_score	min_cnv_score	max_cnv_score	median_correlation	min_correlation	max_correlation	malignant_count	fails_cnv_score_only_count	fails_correlation_only_count	fails_both_count	passes_both_count	n_seed_cells	seed_mean_cnv_score	seed_margin_above_cnv_threshold	median_cnv_score_gap_below_threshold	median_correlation_gap_below_threshold
Tumor_04_Control	Tumor_04	Control	8	20	0.01	0.2	0.0025564566280883	0.000891556042383	0.0049806906364725	0.19202245103777849	0.0658301138119135	0.723154352789372	0	8	0	12	0	2	0.0045983894251063005	-0.0054016105748937	0.0074435433719117	0.04571251931119551
Tumor_04_Control	Tumor_04	Control	whole_sample_pooled	11	0.01	0.2	0.0040002928109151	0.0023225189976588	0.0050223058128043	0.353728782994084	0.0661245421590149	0.751354109787084	0	9	0	2	0	2	0.004967268803166849	-0.005032731196833151	0.0059997071890849005	0.08173084541899055
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	1	14	0.01	0.29122257840127813	0.0052680214988584	0.0030076877192001	0.0068602152339033	0.546260791068681	0.094427591939241	0.829384355102458	0	13	0	1	0	2	0.00682497957443785	-0.0031750204255621504	0.0047319785011416	0.19679498646203714
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	17	21	0.01	0.2	0.0025134244635813	0.0011662486886691	0.0033299503471475	0.181154786292614	0.0483537333792795	0.743641534056555	0	10	0	11	0	2	0.0031895371239268	-0.0068104628760732	0.0074865755364187	0.09183379562269701
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	3	12	0.01	0.2	0.0016877488281948501	0.0010175180971435	0.0061395017689049	0.23954312282289553	0.0484543832850504	0.78232958796331	0	8	0	4	0	2	0.0045732959226981	-0.0054267040773019	0.00831225117180515	0.04423718235799751
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	8	11	0.01	0.2	0.0027219170901103	0.0013452630436353	0.0051348336720634	0.266443556666004	0.109539866290223	0.843382498396227	0	7	0	4	0	2	0.004795243952542549	-0.005204756047457451	0.0072780829098897	0.04401917873559552
Tumor_04_Tamoxifen	Tumor_04	Tamoxifen	whole_sample_pooled	12	0.01	0.2	0.00442073931832885	0.0028778718548639	0.0119005740780704	0.328587553725172	0.141838520142706	0.653258924496083	1	10	0	1	1	2	0.00910788392903575	-0.0008921160709642502	0.0057237150223956	0.058161479857294
Tumor_08_Control	Tumor_08	Control	11	863	0.01	0.33452956566942044	0.0060741103069553	0.0011219858451919	0.0129006146679041	0.482115469646177	-0.0296000299557409	0.712142145279163	16	791	0	56	16	43	0.010027621060892725	2.7621060892725133e-05	0.003960227517498	0.07554590381516943
Tumor_08_Control	Tumor_08	Control	17	11	0.01	0.2	0.0027290314988728	0.0015717836717853	0.0045589547155411	0.18457528163235	0.0535343740790176	0.696572870437799	0	5	0	6	0	2	0.00402020338522575	-0.0059797966147742505	0.0072709685011272	0.06672039687721201
Tumor_08_Control	Tumor_08	Control	3	16	0.01	0.2	0.00264606766940885	0.0018965706538022	0.0039805140885862	0.246233997928247	0.125865406233851	0.676313290055708	0	13	0	3	0	2	0.0037024266985803004	-0.0062975733014197	0.0073539323305911505	0.007972390338583019
Tumor_08_Control	Tumor_08	Control	whole_sample_pooled	16	0.01	0.2	0.0066361304961082505	0.0020173716947599	0.0101119642543424	0.34916359084417203	0.059231809977771	0.766367762396688	1	14	0	1	1	2	0.0095917636492299	-0.0004082363507700998	0.0037733282549742	0.140768190022229
Tumor_08_Tamoxifen	Tumor_08	Tamoxifen	11	975	0.01	0.3454556922927197	0.0063238804013735	0.0005084941492617	0.014365346283243	0.515365306793734	-0.0594303676913657	0.704900497684154	24	875	0	76	24	49	0.010386421168190491	0.0003864211681904907	0.0037277907808735003	0.06982472114410021
Tumor_08_Tamoxifen	Tumor_08	Tamoxifen	whole_sample_pooled	9	0.01	0.2	0.0045661645634246	0.0010144510901252	0.0112109529907513	0.298547268944005	-0.0327673772916971	0.772725816749001	1	5	0	3	1	2	0.00907537408365355	-0.0009246259163464502	0.005895863720512501	0.1949212510652083
Tumor_10_Control	Tumor_10	Control	16	37	0.01	0.38812204489280194	0.0088148885280957	0.0056282752754649	0.012280225310033	0.612809222867823	0.305443961798679	0.846042091562828	9	23	2	3	9	2	0.01197750912578965	0.00197750912578965	0.0018502609928536503	0.028629933329861967
Tumor_10_Control	Tumor_10	Control	17	67	0.01	0.2	0.0044748935984758	0.0009240014627343	0.0122735428333988	0.410326249212359	-0.1831322352259	0.767009159784291	4	50	0	13	4	3	0.011045225775705533	0.0010452257757055331	0.0058276530309551	0.1103418769059469
Tumor_10_Control	Tumor_10	Control	18	110	0.01	0.2	0.002826625629359	0.0006926610874567	0.017742022374034	0.104479068731838	-0.114544858335362	0.682844416759572	11	25	1	73	11	6	0.014051300739752	0.004051300739752	0.00725954086447005	0.1480108333525773
Tumor_10_Control	Tumor_10	Control	3	39	0.01	0.2	0.0015791725409725	0.0004413456709502	0.0051413794434693	0.223447770075195	0.0332715630990256	0.724484726345292	0	24	0	15	0	2	0.0046314814917769	-0.0053685185082231	0.0084208274590275	0.060974937349104
Tumor_10_Control	Tumor_10	Control	6	10	0.01	0.2	0.00904004108209545	0.0015597968761686	0.0108643467478038	0.503314989922892	0.0894603844284331	0.80131337489411	1	7	0	2	1	2	0.0103756309939327	0.0003756309939327001	0.0012930858325121003	0.06001415037284197
Tumor_10_Control	Tumor_10	Control	8	136	0.01	0.2	0.0026818717664809496	0.0004563656159953	0.0162145243128865	0.209608178020882	-0.0178585751921317	0.709113169192529	33	36	0	67	33	7	0.014385635006143116	0.004385635006143116	0.0080136075925004	0.07278902579298002
Tumor_10_Control	Tumor_10	Control	whole_sample_pooled	17	0.01	0.2	0.0067461109921681	0.0014255975821334	0.0185382151341892	0.336724588459652	-0.111328579201285	0.672366386282918	3	10	0	4	3	2	0.01552628435291305	0.005526284352913051	0.0036177276221605	0.1597401967062639
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	17	22	0.01	0.2	0.00208020058847075	0.0007055927051077	0.007367355579096	0.264486955419824	0.0644164405512598	0.774025716652371	0	16	0	6	0	2	0.00588501257287585	-0.00411498742712415	0.00791979941152925	0.04742222093597101
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	18	35	0.01	0.2	0.0024749006991042	0.000408015064368	0.0098505080216878	0.173159208393078	-0.0408078401926228	0.817712929245178	0	13	0	22	0	2	0.00964861223713145	-0.00035138776286854946	0.0075250993008958	0.07836453667780352
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	3	11	0.01	0.2	0.0006634278370976	0.0004413247115941	0.0016761559318925	0.236522156581135	0.13114939364014	0.777058308368712	0	9	0	2	0	2	0.001646200020342	-0.008353799979658	0.0093365721629024	0.06807917889458251
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	8	194	0.01	0.2	0.0018645473940957	0.0002964790618369	0.0105462724063285	0.09717143196274156	-0.0575525541238884	0.653064080617363	2	10	0	182	2	10	0.008196866377019009	-0.0018031336229809916	0.00814610907239665	0.1060894993556551
Tumor_10_Tamoxifen	Tumor_10	Tamoxifen	whole_sample_pooled	16	0.01	0.2	0.004941030920250699	0.0011918124340114	0.0089606060893816	0.389399236001184	-0.0910885000137369	0.855875361982771	0	11	0	5	0	2	0.0088285867741259	-0.0011714132258741003	0.005058969079749301	0.10903770157093812
