cluster	patient	condition	n_cells
8	Tumor_03	Tamoxifen	134
9	Tumor_03	Tamoxifen	87
10	Tumor_03	Tamoxifen	294
12	Tumor_03	Tamoxifen	105
13	Tumor_03	Tamoxifen	59
14	Tumor_03	Tamoxifen	4
15	Tumor_03	Tamoxifen	361
16	Tumor_03	Tamoxifen	766
17	Tumor_03	Tamoxifen	91
18	Tumor_03	Tamoxifen	10
19	Tumor_03	Tamoxifen	56
20	Tumor_03	Tamoxifen	40
22	Tumor_03	Tamoxifen	139
24	Tumor_03	Tamoxifen	4
25	Tumor_03	Tamoxifen	18
26	Tumor_03	Tamoxifen	7
28	Tumor_03	Tamoxifen	10
0	Tumor_04	Tamoxifen	212
1	Tumor_04	Tamoxifen	14
2	Tumor_04	Tamoxifen	1
3	Tumor_04	Tamoxifen	12
5	Tumor_04	Tamoxifen	2
7	Tumor_04	Tamoxifen	6
8	Tumor_04	Tamoxifen	11
9	Tumor_04	Tamoxifen	3
10	Tumor_04	Tamoxifen	10
12	Tumor_04	Tamoxifen	29
13	Tumor_04	Tamoxifen	13
15	Tumor_04	Tamoxifen	64
16	Tumor_04	Tamoxifen	2
17	Tumor_04	Tamoxifen	21
18	Tumor_04	Tamoxifen	1
19	Tumor_04	Tamoxifen	10
20	Tumor_04	Tamoxifen	10
22	Tumor_04	Tamoxifen	7
24	Tumor_04	Tamoxifen	3
26	Tumor_04	Tamoxifen	1
0	Tumor_05	Tamoxifen	123
1	Tumor_05	Tamoxifen	3
3	Tumor_05	Tamoxifen	52
5	Tumor_05	Tamoxifen	2502
6	Tumor_05	Tamoxifen	197
7	Tumor_05	Tamoxifen	2
8	Tumor_05	Tamoxifen	19
9	Tumor_05	Tamoxifen	5
10	Tumor_05	Tamoxifen	57
12	Tumor_05	Tamoxifen	8
13	Tumor_05	Tamoxifen	5
14	Tumor_05	Tamoxifen	2
15	Tumor_05	Tamoxifen	41
16	Tumor_05	Tamoxifen	1
17	Tumor_05	Tamoxifen	8
18	Tumor_05	Tamoxifen	9
19	Tumor_05	Tamoxifen	8
20	Tumor_05	Tamoxifen	5
22	Tumor_05	Tamoxifen	14
26	Tumor_05	Tamoxifen	1
27	Tumor_05	Tamoxifen	11
0	Tumor_06	Tamoxifen	61
2	Tumor_06	Tamoxifen	48
3	Tumor_06	Tamoxifen	391
5	Tumor_06	Tamoxifen	4
7	Tumor_06	Tamoxifen	2326
8	Tumor_06	Tamoxifen	477
9	Tumor_06	Tamoxifen	31
10	Tumor_06	Tamoxifen	79
12	Tumor_06	Tamoxifen	89
13	Tumor_06	Tamoxifen	81
14	Tumor_06	Tamoxifen	6
15	Tumor_06	Tamoxifen	36
17	Tumor_06	Tamoxifen	19
18	Tumor_06	Tamoxifen	126
19	Tumor_06	Tamoxifen	6
20	Tumor_06	Tamoxifen	2
22	Tumor_06	Tamoxifen	4
25	Tumor_06	Tamoxifen	25
0	Tumor_07	Tamoxifen	127
3	Tumor_07	Tamoxifen	54
8	Tumor_07	Tamoxifen	3
9	Tumor_07	Tamoxifen	215
10	Tumor_07	Tamoxifen	361
12	Tumor_07	Tamoxifen	114
13	Tumor_07	Tamoxifen	119
14	Tumor_07	Tamoxifen	11
15	Tumor_07	Tamoxifen	28
16	Tumor_07	Tamoxifen	4
17	Tumor_07	Tamoxifen	11
18	Tumor_07	Tamoxifen	4
19	Tumor_07	Tamoxifen	170
20	Tumor_07	Tamoxifen	70
21	Tumor_07	Tamoxifen	353
22	Tumor_07	Tamoxifen	25
24	Tumor_07	Tamoxifen	56
25	Tumor_07	Tamoxifen	6
26	Tumor_07	Tamoxifen	29
28	Tumor_07	Tamoxifen	3
0	Tumor_08	Tamoxifen	19
3	Tumor_08	Tamoxifen	2
8	Tumor_08	Tamoxifen	2
9	Tumor_08	Tamoxifen	5
10	Tumor_08	Tamoxifen	22
11	Tumor_08	Tamoxifen	975
12	Tumor_08	Tamoxifen	2
13	Tumor_08	Tamoxifen	1
15	Tumor_08	Tamoxifen	3
17	Tumor_08	Tamoxifen	4
25	Tumor_08	Tamoxifen	1
0	Tumor_09	Tamoxifen	110
3	Tumor_09	Tamoxifen	752
5	Tumor_09	Tamoxifen	2
8	Tumor_09	Tamoxifen	342
9	Tumor_09	Tamoxifen	430
10	Tumor_09	Tamoxifen	107
12	Tumor_09	Tamoxifen	98
13	Tumor_09	Tamoxifen	149
14	Tumor_09	Tamoxifen	664
15	Tumor_09	Tamoxifen	15
17	Tumor_09	Tamoxifen	163
18	Tumor_09	Tamoxifen	16
19	Tumor_09	Tamoxifen	13
20	Tumor_09	Tamoxifen	11
22	Tumor_09	Tamoxifen	1
23	Tumor_09	Tamoxifen	1
24	Tumor_09	Tamoxifen	1
25	Tumor_09	Tamoxifen	49
26	Tumor_09	Tamoxifen	1
28	Tumor_09	Tamoxifen	1
0	Tumor_10	Tamoxifen	21
3	Tumor_10	Tamoxifen	11
5	Tumor_10	Tamoxifen	2
6	Tumor_10	Tamoxifen	2
7	Tumor_10	Tamoxifen	1
8	Tumor_10	Tamoxifen	194
9	Tumor_10	Tamoxifen	1
10	Tumor_10	Tamoxifen	19
