patient	malignancy_status	condition	gene	n_cells	pseudobulk_raw_umi	pseudobulk_library_size	pseudobulk_normalized_expression	fraction_expressing	mean_normalized_per_cell	median_normalized_per_cell	mean_normalized_positive_cells_only	median_normalized_positive_cells_only
Tumor_02	all_epithelial	Tamoxifen	CITED2	325	737.0	17837059.0	5.403215587973772	0.6461538461538462	0.31156858746657295	0.216365124141919	0.4821894806030296	0.36943207636122855
Tumor_02	malignant	Control	USP34	134	440.0	8340565.0	5.7483061104730435	0.8208955223880597	0.3964924288629444	0.367438279235477	0.48299986788758675	0.439489032728377
Tumor_02	malignant	Control	VEZF1	134	575.0	8340565.0	6.12804947429018	0.8731343283582089	0.4840106103583066	0.4623609495300755	0.5543369383590862	0.501496270254997
Tumor_02	malignant	Control	EML5	134	1.0	8340565.0	0.1633647026388567	0.007462686567164179	0.0026904964662858356	0.0	0.360526526482302	0.360526526482302
Tumor_02	malignant	Control	CITED2	134	303.0	8340565.0	5.222204632699854	0.7014925373134329	0.2914056300531112	0.22910879918766902	0.4154080258203926	0.30901173075356647
Tumor_02	malignant	Tamoxifen	USP34	183	678.0	11595504.0	5.8941129350505275	0.8852459016393442	0.43503867582524214	0.436263467719461	0.49143257824703285	0.47733670420504704
Tumor_02	malignant	Tamoxifen	VEZF1	183	648.0	11595504.0	5.829944131592679	0.819672131147541	0.3746773398272692	0.350822880549132	0.45710635458926846	0.427482159533057
Tumor_02	malignant	Tamoxifen	EML5	183	1.0	11595504.0	0.11934332336456477	0.00546448087431694	0.0005228804391075644	0.0	0.0956871203566843	0.0956871203566843
Tumor_02	malignant	Tamoxifen	CITED2	183	327.0	11595504.0	4.867925383330942	0.6557377049180327	0.23145813450615985	0.176238750265867	0.35297365512189377	0.302926950733319
Tumor_02	non-malignant epithelial	Control	USP34	221	586.0	7970144.0	6.219640815097212	0.7330316742081447	0.502916512814806	0.444641791504981	0.686077465012791	0.622528463525022
Tumor_02	non-malignant epithelial	Control	VEZF1	221	550.0	7970144.0	6.129438327583431	0.6877828054298643	0.4678090005098884	0.429550735904047	0.6801696652150351	0.5775247596116451
Tumor_02	non-malignant epithelial	Control	EML5	221	8.0	7970144.0	1.0026996259849612	0.03167420814479638	0.008971390394024422	0.0	0.28323961101134243	0.170067027207595
Tumor_02	non-malignant epithelial	Control	CITED2	221	573.0	7970144.0	6.187714425110174	0.579185520361991	0.4131793539783393	0.276814447933563	0.7133799783532264	0.5860887171126574
Tumor_02	non-malignant epithelial	Tamoxifen	USP34	142	405.0	6241555.0	6.041936740587667	0.7887323943661971	0.49926727264962273	0.4942673661151915	0.6329995778236289	0.580690420349553
Tumor_02	non-malignant epithelial	Tamoxifen	VEZF1	142	351.0	6241555.0	5.838850594903043	0.7535211267605634	0.42253747262724944	0.380611214661699	0.5607506646081254	0.477101150549178
Tumor_02	non-malignant epithelial	Tamoxifen	EML5	142	2.0	6241555.0	0.4010110658323057	0.014084507042253521	0.0029310265723327873	0.0	0.2081028866356279	0.2081028866356279
Tumor_02	non-malignant epithelial	Tamoxifen	CITED2	142	410.0	6241555.0	6.059371689794939	0.6338028169014085	0.4148095233240068	0.28214327024347796	0.6544772479112108	0.5337132049005464
Tumor_03	all_epithelial	Control	USP34	513	2776.0	25892967.0	6.757697746339741	0.9161793372319688	0.6999387638312251	0.727067439634537	0.7639757145647202	0.7461820481327774
Tumor_03	all_epithelial	Control	VEZF1	513	2025.0	25892967.0	6.307548102535223	0.8499025341130604	0.5432278737043037	0.532652743034314	0.63916490644566	0.6103457429121331
Tumor_03	all_epithelial	Control	EML5	513	19.0	25892967.0	0.7939291589336948	0.03508771929824561	0.007176248613203476	0.0	0.20452308547629908	0.136020281079602
Tumor_03	all_epithelial	Control	CITED2	513	784.0	25892967.0	4.967099064326747	0.4756335282651072	0.2252943278086962	0.0	0.4736720908436933	0.371074677867105
Tumor_03	all_epithelial	Tamoxifen	USP34	1105	2451.0	34876259.0	6.155365376219271	0.7447963800904978	0.4596894002410583	0.454618821951346	0.6172014426079823	0.581666242694082
Tumor_03	all_epithelial	Tamoxifen	VEZF1	1105	1778.0	34876259.0	5.69989134676592	0.665158371040724	0.36018223431508717	0.31947635024102	0.5414984611131582	0.494858637674758
Tumor_03	all_epithelial	Tamoxifen	EML5	1105	17.0	34876259.0	0.572829147147029	0.015384615384615385	0.003997829616446302	0.0	0.2598589250690096	0.227346576033038
Tumor_03	all_epithelial	Tamoxifen	CITED2	1105	1071.0	34876259.0	4.986800857542597	0.41357466063348414	0.194662275183113	0.0	0.47068230651496684	0.394207649678764
Tumor_03	malignant	Control	USP34	276	1378.0	13687682.0	6.667813524561366	0.9456521739130435	0.6813510736718961	0.706761471906306	0.7205091813541888	0.720380016028978
Tumor_03	malignant	Control	VEZF1	276	1184.0	13687682.0	6.451229791173501	0.9057971014492754	0.5922768854766264	0.572727957462887	0.6538736815661955	0.6112739025636015
Tumor_03	malignant	Control	EML5	276	7.0	13687682.0	0.5958938562745446	0.021739130434782608	0.007088311530912743	0.0	0.3260623304219862	0.213400926226844
Tumor_03	malignant	Control	CITED2	276	342.0	13687682.0	4.699660959631697	0.427536231884058	0.19356651568562155	0.0	0.45274879940026747	0.332640472229737
Tumor_03	malignant	Tamoxifen	USP34	582	1140.0	18908726.0	5.937570972879608	0.7663230240549829	0.43073979856682193	0.4121762446077595	0.5620864636006511	0.5294554369251585
