stringId_A	stringId_B	preferredName_A	preferredName_B	ncbiTaxonId	score	nscore	fscore	pscore	ascore	escore	dscore	tscore
9606.ENSP00000262367	9606.ENSP00000495360	CREBBP	CTNNB1	9606	0.994	0	0	0	0	0.457	0.5	0.982
9606.ENSP00000262367	9606.ENSP00000263253	CREBBP	EP300	9606	0.998	0	0	0	0	0.457	0.9	0.982
9606.ENSP00000262367	9606.ENSP00000437955	CREBBP	HIF1A	9606	0.999	0	0	0	0	0.96	0.9	0.982
9606.ENSP00000262367	9606.ENSP00000269305	CREBBP	TP53	9606	0.999	0	0	0	0	0.96	0.7	0.982
9606.ENSP00000263253	9606.ENSP00000501092	EP300	TFAP2A	9606	0.716	0	0	0	0	0.457	0.5	0
9606.ENSP00000263253	9606.ENSP00000368880	EP300	FOXO1	9606	0.908	0	0	0	0	0.476	0.5	0.679
9606.ENSP00000263253	9606.ENSP00000362680	EP300	SRC	9606	0.919	0	0	0	0	0.292	0	0.891
9606.ENSP00000263253	9606.ENSP00000339527	EP300	FOXO3	9606	0.95	0	0	0	0	0.476	0.5	0.825
9606.ENSP00000263253	9606.ENSP00000265165	EP300	LEF1	9606	0.968	0	0	0	0	0.292	0.9	0.586
9606.ENSP00000263253	9606.ENSP00000287820	EP300	PPARG	9606	0.968	0	0	0	0	0.483	0.5	0.887
9606.ENSP00000263253	9606.ENSP00000263734	EP300	EPAS1	9606	0.992	0	0	0	0	0.457	0.9	0.879
9606.ENSP00000263253	9606.ENSP00000332973	EP300	SMAD3	9606	0.994	0	0	0	0	0.457	0.5	0.982
9606.ENSP00000263253	9606.ENSP00000495360	EP300	CTNNB1	9606	0.994	0	0	0	0	0.457	0.5	0.981
9606.ENSP00000263253	9606.ENSP00000444198	EP300	CITED2	9606	0.999	0	0	0	0	0.943	0.5	0.98
9606.ENSP00000263253	9606.ENSP00000437955	EP300	HIF1A	9606	0.999	0	0	0	0	0.96	0.9	0.982
9606.ENSP00000263253	9606.ENSP00000269305	EP300	TP53	9606	0.999	0	0	0	0	0.964	0.5	0.982
9606.ENSP00000263734	9606.ENSP00000437955	EPAS1	HIF1A	9606	0.998	0	0	0	0	0.22	0.9	0.982
