gene_id	gene_symbol	log2fc	se	moderated_t	p_value	fdr	ave_expr	contrast	direction	crispr_direction	evidence_class	is_gate1_hit
ENSG00000088205	DDX18	0.496368483933658	0.219109657881778	2.26538843030588	0.0462509942849901	0.115077722727036	5.63885273937993	TAMR_vs_MCF7	up			False
ENSG00000152749	GPR180	0.405618506479006	0.179053755568065	2.26534486915476	0.0462544506229977	0.115077722727036	1.55544116616711	TAMR_vs_MCF7	up			False
ENSG00000166902	MRPL16	-0.356088097816277	0.157184193751103	-2.26541924679866	0.0462485493163681	0.115077722727036	6.24938900333325	TAMR_vs_MCF7	down			False
ENSG00000078114	NEBL	-0.563914481525523	0.248980026889557	-2.26489846824407	0.0462898844734696	0.11514657264331	3.82958803103066	TAMR_vs_MCF7	down			False
ENSG00000205670	SMIM11	1.15802865155544	0.51131949199989	2.26478487457249	0.0462989053558366	0.115149707956739	2.51809850612795	TAMR_vs_MCF7	up			False
ENSG00000130940	CASZ1	-0.412275530287322	0.18204575287488	-2.26468084960312	0.0463071678435379	0.115150956336922	3.25598772337585	TAMR_vs_MCF7	down			False
ENSG00000187866	FAM122A	0.287846466826753	0.127159790285057	2.26365949630368	0.0463883675408913	0.115333545169528	1.86745927074327	TAMR_vs_MCF7	up			False
ENSG00000088899	LZTS3	-0.33067705904984	0.146090302103196	-2.26351136447274	0.0464001557475241	0.115343526718339	1.18579603890336	TAMR_vs_MCF7	down			False
ENSG00000095906	NUBP2	-0.576812106732403	0.254866739096903	-2.26319098669479	0.0464256610440716	0.115387597750743	6.41177616588727	TAMR_vs_MCF7	down			False
ENSG00000075223	SEMA3C	-0.580877844547397	0.256677699338859	-2.2630631568056	0.0464358413710601	0.115389797617245	5.38079849884793	TAMR_vs_MCF7	down			False
ENSG00000066135	KDM4A	0.425984105354272	0.18823994963875	2.26298459052807	0.0464420994318766	0.115389797617245	4.02462639421779	TAMR_vs_MCF7	up			False
ENSG00000183474	GTF2H2C	0.406701994939776	0.179757997494477	2.26249736094368	0.0464809270637931	0.115447605586301	5.2354006574361	TAMR_vs_MCF7	up			False
ENSG00000064726	BTBD1	0.399301683113149	0.176481142534726	2.26257421828838	0.0464748001705363	0.115447605586301	4.92564632344345	TAMR_vs_MCF7	up			False
ENSG00000163006	CCDC138	0.348031453256585	0.153855403036713	2.26206845120374	0.046515133109881	0.115513229302831	3.19702668675909	TAMR_vs_MCF7	up			False
ENSG00000265354	TIMM23	-0.366312193422684	0.162035346982793	-2.2606931156915	0.0466249818250908	0.115747277952267	6.39363256076665	TAMR_vs_MCF7	down			False
ENSG00000182944	EWSR1	0.296233005836536	0.131031590629329	2.26077546959298	0.046618397130147	0.115747277952267	7.89169004338664	TAMR_vs_MCF7	up			False
ENSG00000108506	INTS2	-0.494619964439074	0.218813114764672	-2.26046763682801	0.046643014829065	0.11577267548238	4.05594257342844	TAMR_vs_MCF7	down			False
ENSG00000204186	ZDBF2	0.378598344404065	0.167516815488567	2.26006173350343	0.0466754945297156	0.115795182717258	0.9664533628272	TAMR_vs_MCF7	up			False
ENSG00000274523	WBSCR16	-0.356058517332732	0.157532876403786	-2.26021720329723	0.0466630515175597	0.115795182717258	5.81933312323065	TAMR_vs_MCF7	down			False
ENSG00000088451	TGDS	0.311917685632804	0.138011606969613	2.2600829921608	0.0466737929056488	0.115795182717258	2.76259035397909	TAMR_vs_MCF7	up			False
ENSG00000272638	GS1-114I9.1	-0.465486843984731	0.205971508633558	-2.25995744301157	0.0466838432069531	0.115796533852352	1.21365678122464	TAMR_vs_MCF7	down			False
ENSG00000163960	UBXN7	0.463145277092572	0.20495057130142	2.25979012476831	0.0466972404046732	0.115810405001595	2.99352837748275	TAMR_vs_MCF7	up			False
ENSG00000141380	SS18	0.415423423869131	0.183890837937878	2.25907624614484	0.0467544425183721	0.115932890723196	5.96984026962439	TAMR_vs_MCF7	up			False
ENSG00000012983	MAP4K5	0.425285905511853	0.188322386636353	2.25828651127426	0.0468178017482111	0.116070600223886	4.38539388702412	TAMR_vs_MCF7	up			False
ENSG00000166685	COG1	0.455476049746512	0.201708888250432	2.25808616416058	0.0468338884774347	0.116091085403972	4.228563454559	TAMR_vs_MCF7	up			False
ENSG00000215305	VPS16	0.274999016088266	0.121792023421372	2.25793946403891	0.0468456710454289	0.116100896437627	5.00090303938108	TAMR_vs_MCF7	up			False
ENSG00000137726	FXYD6	-0.49193680151846	0.217894240545471	-2.25768611546113	0.0468660260794043	0.116112555512807	1.29858043640041	TAMR_vs_MCF7	down			False
ENSG00000129932	DOHH	-0.486278064841374	0.215383863693304	-2.25772746622194	0.0468627032112741	0.116112555512807	3.18479942152931	TAMR_vs_MCF7	down			False
ENSG00000165630	PRPF18	-0.374593795910088	0.165965072181434	-2.2570640375499	0.0469160425440013	0.11621706832519	3.88211851497729	TAMR_vs_MCF7	down			False
ENSG00000175334	BANF1	-0.388286224631145	0.172044683681248	-2.25689173488518	0.0469299051811904	0.116232003518361	8.44296314988788	TAMR_vs_MCF7	down			False
ENSG00000116918	TSNAX	0.376621219633179	0.166893560302724	2.25665519358587	0.0469489425911047	0.116259748025169	4.17284647474946	TAMR_vs_MCF7	up			False
ENSG00000267260	CTD-2162K18.4	-0.32489511407162	0.144006623635535	-2.2561122944865	0.0469926646179833	0.116348599633178	1.09191244851516	TAMR_vs_MCF7	down			False
ENSG00000262714	RP11-44F14.8	-0.362514022371087	0.160698663406228	-2.25586208800439	0.0470128280697488	0.116379102919408	1.2155495458954	TAMR_vs_MCF7	down			False
ENSG00000119403	PHF19	-0.423740958728854	0.187914051882151	-2.25497217735798	0.0470846112457589	0.116517922225579	6.28537099827501	TAMR_vs_MCF7	down			False
ENSG00000227482	RP11-18B16.2	0.291882942600723	0.129437535412702	2.25501004534794	0.0470815545318035	0.116517922225579	0.721351517191271	TAMR_vs_MCF7	up			False
ENSG00000176014	TUBB6	-0.473556635163932	0.210056548618991	-2.25442452652542	0.047128839194617	0.116588482155673	6.41040445603016	TAMR_vs_MCF7	down			False
ENSG00000185658	BRWD1	0.367416012071972	0.162969534379754	2.25450734378251	0.0471221483495883	0.116588482155673	4.34147605787556	TAMR_vs_MCF7	up			False
ENSG00000167371	PRRT2	-0.700211340128636	0.310612581608465	-2.25429162110139	0.0471395786035301	0.116595610488278	2.92579198634973	TAMR_vs_MCF7	down			False
ENSG00000152061	RABGAP1L	-0.336085920270118	0.149245657740396	-2.25189747801385	0.0473334422257632	0.117055602624312	2.69182809552864	TAMR_vs_MCF7	down			False
ENSG00000151876	FBXO4	-0.360687049170465	0.160178455437363	-2.25178253957824	0.0473427686014344	0.117058095372376	2.75170485333424	TAMR_vs_MCF7	down			False
ENSG00000175768	TOMM5	0.347709028253516	0.154421315698316	2.25169062108508	0.0473502283613022	0.117058095372376	7.04002997225768	TAMR_vs_MCF7	up			False
ENSG00000136856	SLC2A8	-0.433746563319457	0.192647872197427	-2.25149937225858	0.0473657530349002	0.117076968770923	4.21653214444013	TAMR_vs_MCF7	down			False
ENSG00000231187	RP11-38L15.3	-0.829349135953755	0.368458376466795	-2.25086248250485	0.0474174881629304	0.117185324677142	1.17952215536421	TAMR_vs_MCF7	down			False
ENSG00000201321	RNA5S9	-2.61220447763206	1.16065181552115	-2.25063575716644	0.0474359184282142	0.117191834438535	1.27751987918924	TAMR_vs_MCF7	down			False
ENSG00000233198	RNF224	0.393902116918519	0.175014794892301	2.25067896208955	0.0474324058120614	0.117191834438535	1.09531586091164	TAMR_vs_MCF7	up			False
ENSG00000105640	RPL18A	-0.428486138875495	0.190405295569299	-2.25038982027444	0.0474559181989314	0.117221727024429	10.9696591534115	TAMR_vs_MCF7	down			False
ENSG00000077942	FBLN1	-0.545936161466273	0.242629356601175	-2.25008287996931	0.0474808902306043	0.117244374977818	3.26905278536925	TAMR_vs_MCF7	down			False
ENSG00000165669	FAM204A	-0.36711889519178	0.16315527556147	-2.2501196723698	0.0474778962076702	0.117244374977818	5.04053784397987	TAMR_vs_MCF7	down			False
ENSG00000104524	PYCRL	-0.476057273334977	0.211584245914913	-2.24996559302633	0.04749043580388	0.117248433686851	5.04741543008471	TAMR_vs_MCF7	down			False
ENSG00000125107	CNOT1	0.569064728845976	0.253041836870869	2.248895818506	0.0475775865389253	0.117444057405519	6.50983460157519	TAMR_vs_MCF7	up			False
ENSG00000279809	AC005538.3	0.713234644877624	0.317207284118651	2.24848129468187	0.0476113978007134	0.117507970819525	2.08305853885139	TAMR_vs_MCF7	up			False
ENSG00000178149	DALRD3	-0.30923048004483	0.13758380373873	-2.24757908737612	0.0476850678798105	0.117670220721874	4.67766901268328	TAMR_vs_MCF7	down			False
ENSG00000099331	MYO9B	0.31991909562386	0.142381730974148	2.24691112711607	0.0477396812838762	0.117785399216853	4.67112266998588	TAMR_vs_MCF7	up			False
