gene	crispr_effect	crispr_p	crispr_fdr	crispr_direction	crispr_fdr_significant	crispr_evidence_percentile
OR52E4	-0.2522271049271296	0.4586002119758153	0.8902909710308066	sensitising_KO	False	0.4849230447073605
ZDHHC11	0.213957427148121	0.4587492983265189	0.8902909710308066	tolerance_associated_KO	False	0.48487069416815
RAB23	-0.2682614738290807	0.4587726784924842	0.8902909710308066	sensitising_KO	False	0.4848183436289394
UBE2V1	0.3109250010107045	0.4588558226005759	0.8902909710308066	tolerance_associated_KO	False	0.4847659930897288
MYOM3	0.2000929576277297	0.4588926233186196	0.8902909710308066	tolerance_associated_KO	False	0.4847136425505183
MXI1	0.2510128882123075	0.4589670636424234	0.8902909710308066	tolerance_associated_KO	False	0.4846612920113077
CCDC53	-0.2522396717310844	0.4590248643863137	0.8902909710308066	sensitising_KO	False	0.4846089414720972
MC4R	0.3001173459402704	0.4590458874354379	0.8902909710308066	tolerance_associated_KO	False	0.4845565909328866
SUOX	-0.2400923759191853	0.45907465561794	0.8902909710308066	sensitising_KO	False	0.484504240393676
PIGR	-0.2541119654290966	0.4590805322060154	0.8902909710308066	sensitising_KO	False	0.4844518898544655
GPR62	0.2872868049076551	0.4591182849412425	0.8902909710308066	tolerance_associated_KO	False	0.4843995393152549
DDX46	-0.2166366648052617	0.4591273231492899	0.8902909710308066	sensitising_KO	False	0.4843471887760444
MBOAT4	0.2672589615004712	0.4591502196825371	0.8902909710308066	tolerance_associated_KO	False	0.4842948382368338
GLI2	0.2484490381014401	0.4592971711692498	0.8904855232767867	tolerance_associated_KO	False	0.4842424876976232
GRAMD1A	-0.2099876078259832	0.4594711404489134	0.8907126643630774	sensitising_KO	False	0.4841901371584127
SHC4	-0.2641006220309005	0.4595188857190563	0.8907126643630774	sensitising_KO	False	0.4841377866192021
PEG3	-0.1884327278944848	0.4595589991564087	0.8907126643630774	sensitising_KO	False	0.4840854360799916
KCNA2	-0.2231427890058617	0.4596008340379445	0.8907126643630774	sensitising_KO	False	0.484033085540781
WARS2	0.3217096723811377	0.4596545019001594	0.8907263085614472	tolerance_associated_KO	False	0.4839807350015704
ZNF675	-0.283767182229707	0.4597390083844956	0.8907997035367704	sensitising_KO	False	0.48392838446236
PCDHA2	0.400416036937278	0.4597877324307881	0.890803757872753	tolerance_associated_KO	False	0.4838760339231494
KLHDC7B	0.2342413068042779	0.45983890980698	0.8908125640444924	tolerance_associated_KO	False	0.4838236833839389
MRPS34	-0.3369431177536564	0.4599903307449318	0.8909725133650206	sensitising_KO	False	0.4837713328447283
DHRS7	-0.2860636782746173	0.4600147568088362	0.8909725133650206	sensitising_KO	False	0.4837189823055178
CD1A	0.2112837548055939	0.460122413404834	0.8910906795693984	tolerance_associated_KO	False	0.4836666317663072
ZNF541	0.2087786928483144	0.4602244255553168	0.8910908480649811	tolerance_associated_KO	False	0.4836142812270966
ADD1	-0.1820562601830389	0.4602752325480811	0.8910908480649811	sensitising_KO	False	0.4835619306878861
BCOR	0.2154558182432797	0.4603056988797694	0.8910908480649811	tolerance_associated_KO	False	0.4835095801486755
RGS3	0.2393019868579244	0.4603090869866112	0.8910908480649811	tolerance_associated_KO	False	0.483457229609465
DPH3P1	0.2699089647914263	0.4603659857172823	0.8911106925886355	tolerance_associated_KO	False	0.4834048790702544
ARFIP1	0.2611319825285649	0.4604254433542357	0.8911354857544037	tolerance_associated_KO	False	0.4833525285310438
NUTM2B	0.3024003289518546	0.4605010038177575	0.8911914371320658	tolerance_associated_KO	False	0.4833001779918333
OLIG1	0.1710373981448292	0.4606263974783285	0.891219112291385	tolerance_associated_KO	False	0.4832478274526227
PRKCH	-0.2533903888421482	0.4606753751922985	0.891219112291385	sensitising_KO	False	0.4831954769134122
