gene	anon_id
FAM230A	Gene00818
LIN9	Gene00819
AC134772.1	Gene00820
AC021016.2	Gene00821
AC103923.1	Gene00822
SLC35E1P1	Gene00823
GPR4	Gene00824
SETP20	Gene00825
ACTR3B	Gene00826
LINC00336	Gene00827
RP11-774I5.1	Gene00828
AC005042.2	Gene00829
CDCA2	Gene00830
KCTD7	Gene00831
RP11-73M18.6	Gene00832
TEX19	Gene00833
RP11-839G9.1	Gene00834
FKBP4P1	Gene00835
LINC00365	Gene00836
KRIT1	Gene00837
AC130814.1	Gene00838
CDC42EP5	Gene00839
COPZ2	Gene00840
RP11-333E13.2	Gene00841
RFPL1	Gene00842
OR10G8	Gene00843
LINC01355	Gene00844
RP11-60A24.3	Gene00845
PERM1	Gene00846
EOMES	Gene00847
SCRIB	Gene00848
ALG14	Gene00849
AL109984.1	Gene00850
TACSTD2	Gene00851
OR51F1	Gene00852
MRPL18	Gene00853
CTA-315H11.2	Gene00854
ZBED9	Gene00855
CPEB3	Gene00856
PSMB8	Gene00857
RP11-496I9.1	Gene00858
NKAIN3	Gene00859
RP11-181D18.4	Gene00860
AL513165.1	Gene00861
RP11-379B18.5	Gene00862
RP11-4B16.4	Gene00863
AP003696.1	Gene00864
RP11-319E16.2	Gene00865
LINC01686	Gene00866
TRIM40	Gene00867
RP11-187A9.3	Gene00868
ADTRP	Gene00869
RP11-131K5.1	Gene00870
RPS24	Gene00871
PCNX4	Gene00872
RABEP1	Gene00873
AC007220.1	Gene00874
AC073610.5	Gene00875
TSHR	Gene00876
AC016683.5	Gene00877
BCL9P1	Gene00878
MT-TS1	Gene00879
IFITM5	Gene00880
TMC3	Gene00881
HIATL2	Gene00882
MCOLN2	Gene00883
ROCK1P1	Gene00884
USP17L11	Gene00885
AL139412.1	Gene00886
SRGAP2	Gene00887
AC009262.2	Gene00888
IGHG1	Gene00889
FAM72D	Gene00890
MFSD2A	Gene00891
CTB-179K24.3	Gene00892
RBL1	Gene00893
ARL6IP4	Gene00894
FAM9A	Gene00895
TDRD9	Gene00896
LOC100129520	Gene00897
ULK2	Gene00898
GPN3	Gene00899
CTC-523E23.1	Gene00900
AC007364.1	Gene00901
RIC8A	Gene00902
MED18	Gene00903
COQ9	Gene00904
STK4-AS1	Gene00905
NCMAP-DT	Gene00906
SNX25	Gene00907
VIP	Gene00908
LMAN2	Gene00909
