gene	global_rank_original	global_rank_anonymized	ranks_match
WFIKKN1	11626	11626	True
WFS1	1997	1997	True
WHAMM	10783	10783	True
WHSC1	13206	13206	True
WHSC1L1	14990	14990	True
WIBG	15129	15129	True
WIPF1	11557	11557	True
WIPF2	7118	7118	True
WIPF3	14949	14949	True
WIPI1	419	419	True
WIPI2	5209	5209	True
WISP1	15249	15249	True
WISP2	11495	11495	True
WISP3	14880	14880	True
WIZ	10666	10666	True
WLS	1673	1673	True
WNK1	2741	2741	True
WNK2	2029	2029	True
WNK3	12644	12644	True
WNK4	11515	11515	True
WNT10B	3824	3824	True
WNT11	12038	12038	True
WNT2B	11743	11743	True
WNT3	1423	1423	True
WNT4	305	305	True
WNT5A	174	174	True
WNT5B	12319	12319	True
WNT6	11352	11352	True
WNT7B	5339	5339	True
WNT9A	2190	2190	True
WRAP53	4474	4474	True
WRAP73	9098	9098	True
WRB	11750	11750	True
WRN	8712	8712	True
WRNIP1	8287	8287	True
WSB1	9442	9442	True
WSB2	1083	1083	True
WSCD1	11247	11247	True
WT1	14904	14904	True
WTAP	1493	1493	True
WTIP	961	961	True
WWC1	4981	4981	True
WWC2	1694	1694	True
WWC3	1253	1253	True
WWOX	4010	4010	True
WWP1	4897	4897	True
WWP2	9534	9534	True
WWTR1	496	496	True
WWTR1-AS1	13931	13931	True
XAB2	5796	5796	True
XAF1	11382	11382	True
XBP1	3918	3918	True
XDH	14515	14515	True
XG	8258	8258	True
XIAP	3058	3058	True
XIST	11589	11589	True
XK	11280	11280	True
XKR6	357	357	True
XKR8	7885	7885	True
XKR9	12683	12683	True
XPA	6536	6536	True
XPC	7506	7506	True
XPNPEP1	1461	1461	True
XPNPEP3	4812	4812	True
XPO1	5810	5810	True
XPO4	10247	10247	True
XPO5	5242	5242	True
XPO6	4868	4868	True
XPO7	4064	4064	True
XPOT	5373	5373	True
XPR1	10385	10385	True
XRCC1	7379	7379	True
XRCC2	5332	5332	True
XRCC3	4060	4060	True
XRCC4	6977	6977	True
XRCC5	3142	3142	True
XRCC6	6050	6050	True
XRCC6BP1	13762	13762	True
XRN1	8375	8375	True
XRN2	9458	9458	True
XRRA1	7509	7509	True
XXYLT1	1587	1587	True
XYLB	3136	3136	True
XYLT1	1344	1344	True
XYLT2	9805	9805	True
YAE1D1	12721	12721	True
YAF2	9751	9751	True
YAP1	9072	9072	True
YARS	2353	2353	True
YARS2	10331	10331	True
YBEY	796	796	True
YBX1	6013	6013	True
YBX2	536	536	True
YBX3	10649	10649	True
YDJC	9160	9160	True
YEATS2	3109	3109	True
YEATS4	7146	7146	True
YES1	811	811	True
YIF1A	4481	4481	True
YIF1B	8915	8915	True
YIPF1	6984	6984	True
YIPF2	6279	6279	True
YIPF3	6430	6430	True
YIPF4	4548	4548	True
YIPF5	3595	3595	True
YIPF6	7018	7018	True
YJEFN3	10229	10229	True
YKT6	6149	6149	True
YLPM1	7890	7890	True
YME1L1	3461	3461	True
YOD1	12519	12519	True
YPEL1	12778	12778	True
YPEL2	2590	2590	True
YPEL3	2025	2025	True
YPEL5	4007	4007	True
YRDC	10788	10788	True
YTHDC1	8522	8522	True
YTHDC2	4828	4828	True
YTHDF1	7715	7715	True
YTHDF2	2431	2431	True
YTHDF3	7888	7888	True
YTHDF3-AS1	12769	12769	True
YWHAB	7283	7283	True
YWHAE	2265	2265	True
YWHAG	5608	5608	True
YWHAH	5804	5804	True
YWHAQ	1403	1403	True
YWHAZ	3253	3253	True
YY1	10678	10678	True
YY1AP1	10993	10993	True
YY2	12849	12849	True
ZADH2	5999	5999	True
ZBED1	8284	8284	True
ZBED3	6400	6400	True
ZBED3-AS1	12249	12249	True
ZBED4	6934	6934	True
ZBED5	5582	5582	True
ZBED5-AS1	12080	12080	True
ZBED6	5451	5451	True
ZBED6CL	9991	9991	True
ZBED8	9213	9213	True
ZBED9	4676	4676	True
ZBTB1	5131	5131	True
ZBTB10	7644	7644	True
ZBTB11	10850	10850	True
ZBTB11-AS1	13016	13016	True
ZBTB12	1662	1662	True
ZBTB14	10099	10099	True
ZBTB16	13646	13646	True
ZBTB17	8272	8272	True
ZBTB18	12907	12907	True
ZBTB2	7291	7291	True
ZBTB20	12557	12557	True
ZBTB21	9374	9374	True
ZBTB22	7171	7171	True
ZBTB24	6122	6122	True
ZBTB25	2567	2567	True
ZBTB26	2007	2007	True
ZBTB3	10349	10349	True
ZBTB32	13355	13355	True
ZBTB33	3588	3588	True
ZBTB34	5349	5349	True
ZBTB37	4869	4869	True
ZBTB38	1903	1903	True
ZBTB39	5826	5826	True
ZBTB4	3482	3482	True
ZBTB40	4292	4292	True
ZBTB41	10360	10360	True
ZBTB42	12301	12301	True
ZBTB43	5640	5640	True
ZBTB44	8892	8892	True
ZBTB45	8020	8020	True
ZBTB46	8811	8811	True
ZBTB47	2339	2339	True
ZBTB48	10151	10151	True
ZBTB49	4670	4670	True
ZBTB5	4256	4256	True
ZBTB6	7927	7927	True
ZBTB7A	1977	1977	True
ZBTB7B	5186	5186	True
ZBTB7C	11664	11664	True
ZBTB8A	10631	10631	True
ZBTB8OS	4684	4684	True
ZBTB9	12132	12132	True
ZC2HC1A	3865	3865	True
ZC2HC1C	504	504	True
ZC3H10	6021	6021	True
ZC3H11A	2306	2306	True
ZC3H11B	13462	13462	True
ZC3H12A	3329	3329	True
ZC3H12B	14154	14154	True
ZC3H12C	91	91	True
ZC3H13	10528	10528	True
ZC3H14	9120	9120	True
ZC3H15	3861	3861	True
ZC3H18	7138	7138	True
ZC3H3	10532	10532	True
ZC3H4	10262	10262	True
ZC3H6	9355	9355	True
ZC3H7A	7027	7027	True
ZC3H7B	6053	6053	True
ZC3H8	9733	9733	True
ZC3HAV1	3594	3594	True
ZC3HAV1L	2297	2297	True
ZC3HC1	1127	1127	True
