gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
RTN4IP1	2	0	0.4202526683886149	0.4202526683886149	13526
CAPZB	2	0	0.42023686230565016	0.42023686230565016	13527
LINC00390	1	0	0.4201986215878873	0.4201986215878873	13528
SERPINI1	2	0	0.4201627762421538	0.4201627762421538	13529
KLHL7	2	0	0.4201492232508127	0.4201492232508127	13530
SETDB1	2	0	0.42014689299956665	0.42014689299956665	13531
MYO9A	2	0	0.42011007175713944	0.42011007175713944	13532
PCBP1-AS1	1	0	0.4200900852010636	0.4200900852010636	13533
ZNF710-AS1	2	0	0.42008286538647777	0.42008286538647777	13534
ZSCAN26	2	0	0.42004501340408257	0.42004501340408257	13535
AL591135.2	1	0	0.4200358170076518	0.4200358170076518	13536
INSL3	2	0	0.42001432667030186	0.42001432667030186	13537
C9orf147	2	0	0.42000793010797377	0.42000793010797377	13538
HHAT	2	0	0.42000058928802986	0.42000058928802986	13539
INHA	2	0	0.4199970925956048	0.4199970925956048	13540
NEDD1	2	0	0.4199518384800637	0.4199518384800637	13541
PGBD1	2	0	0.4199441227681277	0.4199441227681277	13542
AC015802.4	2	0	0.41991022110978893	0.41991022110978893	13543
SMIM36	1	0	0.4198730124274162	0.4198730124274162	13544
ADGRF3	2	0	0.41985206368579175	0.41985206368579175	13545
SPAG7	2	0	0.4198478904199424	0.4198478904199424	13546
STOML1	2	0	0.4198139516337145	0.4198139516337145	13547
NXF1	2	0	0.4197688115896545	0.4197688115896545	13548
AC114781.2	1	0	0.4197644760405926	0.4197644760405926	13549
CD27-AS1	1	0	0.4197102078471807	0.4197102078471807	13550
CALCOCO2	2	0	0.4196612493730205	0.4196612493730205	13551
UBE2D4	2	0	0.41964435240758696	0.41964435240758696	13552
MEA1	2	0	0.4196024827137168	0.4196024827137168	13553
IMPDH2	2	0	0.41957287645114194	0.41957287645114194	13554
AC087521.4	1	0	0.4195485377515845	0.4195485377515845	13555
CLMAT3	1	0	0.4195474032669453	0.4195474032669453	13556
AC018797.2	1	0	0.419529855079095	0.419529855079095	13557
AC004130.1	1	0	0.4195085653355196	0.4195085653355196	13558
RHBDL3	2	0	0.4193952073249859	0.4193952073249859	13559
MVB12A	2	0	0.41938953957458147	0.41938953957458147	13560
CDIPT	2	0	0.4193102309018175	0.4193102309018175	13561
AL162258.2	2	0	0.4193087407096882	0.4193087407096882	13562
KCMF1	2	0	0.4193021286815342	0.4193021286815342	13563
SNX12	2	0	0.41922805920571016	0.41922805920571016	13564
GTF3C1	2	0	0.4191843114444391	0.4191843114444391	13565
HDGFL3	2	0	0.41915524861172804	0.41915524861172804	13566
AGAP6	1	0	0.4191149778191194	0.4191149778191194	13567
AK9	2	0	0.4191127645314445	0.4191127645314445	13568
C21orf91-OT1	1	0	0.4190589895262386	0.4190589895262386	13569
SYTL3	2	0	0.4190135985140806	0.4190135985140806	13570
FBXO5	2	0	0.41900000812190047	0.41900000812190047	13571
FUZ	2	0	0.4189559834727699	0.4189559834727699	13572
DMWD	2	0	0.4188936524920166	0.4188936524920166	13573
ECD	2	0	0.4188822285962496	0.4188822285962496	13574
NRBF2	2	0	0.4188794094435642	0.4188794094435642	13575
CAMTA1-DT	1	0	0.4188419167525913	0.4188419167525913	13576
BRICD5	2	0	0.41883966202152895	0.41883966202152895	13577
AC112484.3	1	0	0.4188257533637273	0.4188257533637273	13578
TM2D3	2	0	0.41879485598840643	0.41879485598840643	13579
LINC01186	2	0	0.41879111386664825	0.41879111386664825	13580
AL360091.3	2	0	0.41877415995923245	0.41877415995923245	13581
AJUBA	2	0	0.41877246998183826	0.41877246998183826	13582
NUFIP2	2	0	0.4187375391033644	0.4187375391033644	13583
GTF3A	2	0	0.4186849150299685	0.4186849150299685	13584
DMAP1	2	0	0.4186801948192135	0.4186801948192135	13585
AC012306.3	1	0	0.4186791121723557	0.4186791121723557	13586
DCAF17	2	0	0.4186769019522074	0.4186769019522074	13587
GPR89B	2	0	0.41862428629497433	0.41862428629497433	13588
RPS17	2	0	0.41861575567761755	0.41861575567761755	13589
SFT2D1	2	0	0.41860487181889017	0.41860487181889017	13590
AL450998.2	2	0	0.4185530603897215	0.4185530603897215	13591
AC073046.1	2	0	0.41848007046308233	0.41848007046308233	13592
POU5F2	2	0	0.41844418976515546	0.41844418976515546	13593
POLD2	2	0	0.41844136995458314	0.41844136995458314	13594
TEKT5	2	0	0.41837785520742715	0.41837785520742715	13595
AC008870.4	1	0	0.418244966625061	0.418244966625061	13596
SMIM26	2	0	0.4181864349665232	0.4181864349665232	13597
ALOX5	2	0	0.41817771274509696	0.41817771274509696	13598
ANKRD11	2	0	0.41816513351060325	0.41816513351060325	13599
CCR10	1	0	0.4181585677749361	0.4181585677749361	13600
UBAC2-AS1	2	0	0.4181308873513788	0.4181308873513788	13601
HLA-E	2	0	0.41812597354907227	0.41812597354907227	13602
BRD2	2	0	0.4180854348238096	0.4180854348238096	13603
AC124319.1	1	0	0.4180821620448255	0.4180821620448255	13604
USP53	2	0	0.4180607127784414	0.4180607127784414	13605
CIZ1	2	0	0.4180352203238743	0.4180352203238743	13606
TMEM191C	2	0	0.4180201766398875	0.4180201766398875	13607
CHD2	2	0	0.4179944423720248	0.4179944423720248	13608
TYROBP	1	0	0.4179917713777382	0.4179917713777382	13609
