gene	n_datasets_testable	n_datasets_fdr05	median_evidence_percentile	equal_dataset_mean_percentile	rank
AC139530.3	2	0	0.15095425908193116	0.15095425908193116	18660
DNAJC27-AS1	4	0	0.1507671729291341	0.18081584138721732	18661
PPAP2B	2	0	0.15060778975983852	0.15060778975983852	18662
AC006064.2	2	0	0.15045196449924805	0.15045196449924805	18663
AL022322.1	2	0	0.1503834911098736	0.1503834911098736	18664
PP2D1	3	0	0.1502686275573885	0.15037442408074653	18665
TMUB2	4	0	0.15022192280425983	0.2736499331505421	18666
SCAND1	4	0	0.150194277555357	0.20993816770122894	18667
CH17-431G21.1	2	0	0.15019121291450488	0.15019121291450488	18668
DAPK3	4	0	0.15017326026790812	0.20331268687781073	18669
CCZ1B	4	0	0.1499561096065577	0.2738218014861928	18670
CYP46A1	3	0	0.1495088728496229	0.30300495094782004	18671
RPS3AP26	2	0	0.14949078931079496	0.14949078931079496	18672
FBXL8	4	0	0.1492990960885299	0.17877627515071795	18673
RP11-666A8.8	2	0	0.14922543377085454	0.14922543377085454	18674
ZMYM6	4	0	0.14845017745091815	0.1895694315255015	18675
DHX40P1	2	0	0.14841454568558826	0.14841454568558826	18676
ZBTB24	4	0	0.1482984221448855	0.17546151394644127	18677
C11orf45	3	0	0.1482819971088624	0.14250265597224668	18678
C5AR1	4	0	0.14819032003098076	0.2431037860534591	18679
RASA2	4	0	0.1481167662696827	0.21710290705440677	18680
SPATA1	3	0	0.1479893634340913	0.222498420122443	18681
G3BP1	4	0	0.14785358405946314	0.18608548735249208	18682
SGPL1	4	0	0.1476476947076759	0.25456141908020935	18683
TMSB15B-AS1	2	0	0.1475693446343532	0.1475693446343532	18684
AC104806.2	2	0	0.14745655091288565	0.14745655091288565	18685
C1orf159	4	0	0.14722757536356515	0.1688021226439882	18686
LINC01002	3	0	0.1471428571428571	0.21759700276270022	18687
RP4-740C4.7	2	0	0.14712858658158784	0.14712858658158784	18688
UBTD2	4	0	0.14709421664320932	0.2547053807693475	18689
RPL10AP6	2	0	0.1470497719861822	0.1470497719861822	18690
TMEM265	2	0	0.14692033272120822	0.14692033272120822	18691
ZW10	4	0	0.14673213980006583	0.25637329225661687	18692
USMG5	2	0	0.14672466540450355	0.14672466540450355	18693
NMNAT1	4	0	0.1463925972324478	0.20607200710225573	18694
SCAMP2	4	0	0.14632467241371921	0.18172941061206643	18695
IQCA1	3	0	0.1462527812449123	0.3631190785706199	18696
KIF5B	4	0	0.14620080397742224	0.18192342600521663	18697
COPS4	4	0	0.1461738582983692	0.1719003640376528	18698
CSE1L-AS1	2	0	0.1458753838837086	0.1458753838837086	18699
C7orf31	2	0	0.1458634355633903	0.1458634355633903	18700
SEC16A	4	0	0.14570966922613185	0.24008367590290858	18701
RNF40	4	0	0.14543709093584253	0.20055570649953045	18702
