gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
SMCO4	3	3	0	2	2	2	2	0.9392738915721496	all_up
B4GALNT3	3	3	0	2	2	2	2	0.9382970640907364	all_up
KIF12	3	0	3	2	2	2	2	0.9382427958973246	all_down
TCEA3	3	0	3	2	2	2	2	0.9378231292517006	all_down
CKMT1B	3	0	3	2	2	2	2	0.9375510204081632	all_down
SDCBP	3	3	0	2	2	2	2	0.9372117002224996	all_up
CXADR	3	3	0	2	2	2	2	0.9363945578231292	all_up
F3	3	3	0	2	2	2	2	0.93634340912791	all_up
ALDH4A1	3	0	3	2	3	2	2	0.9357325525369704	all_down
PLIN2	3	0	3	2	2	2	2	0.9357142857142856	all_down
UBE2E2	3	3	0	2	3	2	2	0.935621363181498	all_up
SASH1	3	3	0	2	2	2	2	0.9355102040816328	all_up
GABARAPL1	3	3	0	2	2	2	2	0.9345578231292516	all_up
ATXN1	3	3	0	2	2	2	2	0.934335485971672	all_up
P2RY6	3	0	3	2	3	2	2	0.9342870909158296	all_down
SLC6A6	3	3	0	2	2	2	2	0.93368426765073	all_up
PIP5KL1	3	0	3	2	2	2	2	0.9327891156462584	all_down
TUBB8	3	0	3	2	2	2	2	0.932312925170068	all_down
KCNS3	3	3	0	2	2	2	2	0.9322190264286102	all_up
RAI14	3	3	0	2	3	2	2	0.9321744931618546	all_up
SMAD3	3	3	0	2	2	2	2	0.9317848808813156	all_up
FRK	3	0	3	2	2	2	2	0.9317006802721088	all_down
SAT1	3	3	0	2	2	2	2	0.9312964671406088	all_up
SUSD2	3	0	3	2	2	2	2	0.9303739078526077	all_down
CFL2	3	3	0	2	2	2	2	0.9296598639455782	all_up
CPE	3	3	0	2	2	2	2	0.9295238095238096	all_up
HCAR1	3	0	3	2	2	2	2	0.928095238095238	all_down
ABCA12	3	0	3	2	2	2	2	0.9280946437293104	all_down
TAF3	3	0	3	2	2	2	2	0.9278775709556628	all_down
TRAPPC12	3	3	0	2	2	2	2	0.927687074829932	all_up
CXCL17	3	3	0	2	2	2	2	0.92749769360178	all_up
RHOQ	3	3	0	2	2	2	2	0.9274149659863946	all_up
TMEM45B	3	3	0	2	3	2	2	0.9270968459286164	all_up
ITIH2	3	3	0	2	2	2	2	0.9270635480544852	all_up
PLEK2	3	3	0	2	2	2	2	0.9267379388940142	all_up
LMO2	3	3	0	2	2	2	2	0.9261952569598958	all_up
