gene	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus
FAM89A	3	3	0	2	3	3	3	0.9547619047619048	all_up
HDX	3	3	0	2	3	3	3	0.9545578231292516	all_up
GCHFR	3	0	3	2	3	3	3	0.9541899855453838	all_down
ITGAV	3	3	0	2	3	3	3	0.9540816326530612	all_up
RDH10	3	3	0	2	3	3	3	0.953817767406523	all_up
JPH3	3	3	0	2	3	3	3	0.953546426439464	all_up
ETV5	3	3	0	2	3	3	3	0.953492158246052	all_up
SLC27A2	3	3	0	2	3	3	3	0.95343789005264	all_up
IGSF1	3	0	3	2	3	3	3	0.9531151551091508	all_down
BMP1	3	3	0	2	3	3	3	0.953061224489796	all_up
STARD13	3	0	3	2	3	3	3	0.9521897216041678	all_down
PGR	3	0	3	2	3	3	3	0.9517687074829932	all_down
CLPSL2	3	0	3	2	3	3	3	0.950204081632653	all_down
EPS15L1	3	0	3	2	3	3	3	0.9497476529006348	all_down
UGCG	3	0	3	2	3	3	3	0.9493877551020408	all_down
BRSK2	3	3	0	2	3	3	3	0.9489878981928692	all_up
CD22	3	0	3	2	3	3	3	0.9481738752916916	all_down
GRM4	3	3	0	2	3	3	3	0.9479633816389312	all_up
OLFM2	3	3	0	2	3	3	3	0.9474829931972788	all_up
KIAA0513	3	3	0	2	3	3	3	0.9470342432300428	all_up
ARHGAP5	3	3	0	2	3	3	3	0.9466291093732626	all_up
KIF1A	3	3	0	2	3	3	3	0.946600097682748	all_up
MYB	3	0	3	2	3	3	3	0.9456462585034012	all_down
VEPH1	3	0	3	2	3	3	3	0.9445578231292516	all_down
LYPD1	3	3	0	2	3	3	3	0.9424039138653126	all_up
FGFR1OP	3	0	3	2	3	3	3	0.9421501058229772	all_down
NAALADL2	3	0	3	2	3	3	3	0.9399319727891156	all_down
TMEM254-AS1	3	0	3	2	3	3	3	0.9397278911564626	all_down
ELOVL2	3	0	3	2	3	3	3	0.9389795918367349	all_down
KBTBD11	3	3	0	2	3	3	3	0.9388940142182668	all_up
MAF	3	3	0	2	3	3	3	0.9358503401360544	all_up
ANKRD29	3	3	0	2	3	3	3	0.9354731107075348	all_up
KCNK5	3	0	3	2	3	3	3	0.9349912901671548	all_down
PADI2	3	0	3	2	3	3	3	0.934398280271302	all_down
DMTN	3	3	0	2	3	3	3	0.9336734693877552	all_up
ARNTL2	3	3	0	2	3	3	3	0.933265306122449	all_up
PDE9A	3	3	0	2	3	3	3	0.9322448979591836	all_up
DNAJC12	3	3	0	2	3	3	3	0.9308402208961862	all_up
KCNC4	3	3	0	2	3	3	3	0.929180007597547	all_up
TNS3	3	3	0	2	3	3	3	0.9256462585034012	all_up
ZNF281	3	3	0	2	3	3	3	0.9238723546199176	all_up
MED13L	3	0	3	2	3	3	3	0.9223157036433044	all_down
ARAP2	3	3	0	2	3	3	3	0.909251700680272	all_up
ST3GAL5	3	3	0	2	3	3	3	0.9082867531339882	all_up
CSGALNACT1	3	3	0	2	2	2	3	0.9936054421768707	all_up
RBM24	3	0	3	2	2	2	3	0.992721088435374	all_down
RIPK4	3	3	0	2	2	2	3	0.9891156462585036	all_up
A4GALT	3	0	3	2	2	2	3	0.987687074829932	all_down
CLSTN3	3	3	0	2	3	2	3	0.9845335648776252	all_up
BCL2	3	0	3	2	3	2	3	0.9835024692028004	all_down
NOVA1	3	3	0	2	2	2	3	0.9831292517006802	all_up
PID1	3	3	0	2	2	2	3	0.9812925170068028	all_up
P2RY2	3	0	3	2	3	2	3	0.981156462585034	all_down
PTK7	3	3	0	2	3	2	3	0.9805442176870748	all_up
