gene	crispr_effect	crispr_p	crispr_fdr	crispr_testable	crispr_direction	gse118713_log2fc	gse118713_p	gse118713_fdr	gse118713_testable	gse118713_direction	gse245601_epi_log2fc	gse245601_epi_p	gse245601_epi_fdr	gse245601_malignant_log2fc	gse245601_malignant_p	gse245601_malignant_fdr	gse245601_testable	gse245601_track_direction_agreement	gse240112_tumor_log2fc	gse240112_tumor_p	gse240112_tumor_fdr	gse240112_epi_log2fc	gse240112_epi_p	gse240112_epi_fdr	gse240112_testable	gse240112_track_direction_agreement	gse240112_outlier_fragility	gse111151_log2fc	gse111151_p	gse111151_fdr	gse111151_testable	crispr_evidence_percentile	gse118713_evidence_percentile	gse245601_track_a_percentile	gse245601_track_b_percentile	gse245601_evidence_percentile	gse245601_one_track_only	gse240112_tumor_percentile	gse240112_epi_percentile	gse240112_evidence_percentile	gse111151_evidence_percentile	n_datasets_testable	coverage_tier	n_datasets_fdr05	n_datasets_nominal_p05	n_datasets_top10pct	n_datasets_top20pct	median_evidence_percentile	equal_dataset_mean_percentile	min_evidence_percentile	max_evidence_percentile	resistance_datasets_testable	resistance_up_count	resistance_down_count	resistance_fdr05_count	resistance_nominal_p05_count	resistance_top10pct_count	resistance_top20pct_count	resistance_median_percentile	resistance_direction_consensus	evidence_category	global_rank
EIF4ENIF1	-1.5506541534723943	2.8211529650492784e-05	0.0372575660229722	True	sensitising_KO	0.53145903933498	0.0164126955030823	0.0529761966227399	True	up_in_TAMR	-0.0618984390937733	0.562927525960468	0.839383757340375	-0.259810148331114	0.22699538300837	0.647959512553079	True	True	0.0629475872692003	0.792166447431357	0.863278728164698	0.143520469287823	0.531163395707119	0.663291476825465	True	True	False	-0.128950200396878	0.321816876485056	0.72170580070892	True	0.9993717935294734	0.6895238095238095	0.3294784832647615	0.6497619391141249	0.4896202111894432	False	0.0823791175991751	0.1992104613866272	0.0823791175991751	0.5535006115414551	5	A	1	2	1	1	0.5535006115414551	0.5628791086766712	0.0823791175991751	0.9993717935294734	3	2	1	0	1	0	0	0.5535006115414551	majority_up	FUNCTIONAL_ONLY	2536.0
EML5	-1.058423339442026	0.0003193061123217	0.1487732844800642	True	sensitising_KO	0.962489709016966	7.18180165350279e-06	0.0001290115895092	True	up_in_TAMR	0.630181402620734	0.0627800265218925	0.385544026046219				True		1.05902954912775	0.0106130894675752	0.0399954257666563	1.06138968302795	0.0098465226122181	0.0379444052594052	True	True	False	0.404678152880988	0.0785283551516659	0.462341633396696	True	0.9979059784315778	0.944421768707483	0.8372623151339931		0.8372623151339931	True	0.7346828024095078	0.7405378731803602	0.7346828024095078	0.8301026648382195	5	A	2	3	2	4	0.8372623151339931	0.8688751059041563	0.7346828024095078	0.9979059784315778	3	3	0	2	2	1	2	0.8301026648382195	all_up	RNA_RESISTANCE_CONSENSUS	256.0
EPAS1	0.149728728535667	0.5680609193106956	0.9243328570351124	True	tolerance_associated_KO	5.9473037686576	1.3787185058895601e-10	6.14437686554197e-08	True	up_in_TAMR	0.0142550208886947	0.88395924565008	0.967437750215697	-0.199641170495508	0.240870465909652	0.657579217980603	True	False	7.49755691339593	9.14388099023009e-07	5.33238730658102e-05	6.53622906439226	2.33162359879307e-06	9.08705458714236e-05	True	True	False	1.54018987568339	4.42104317273188e-06	0.0163651497737581	True	0.3854570202073081	0.9978231292517008	0.086400533748471	0.6337469340643486	0.3600737339064098	False	0.98290551907527	0.9743893412287196	0.98290551907527	0.999814684407546	5	A	3	3	3	3	0.98290551907527	0.7452148173696469	0.3600737339064098	0.999814684407546	3	3	0	3	3	3	3	0.9978231292517008	all_up	RNA_RESISTANCE_CONSENSUS	6.0
EYA2	0.0017800849392752	0.9959909946601724	0.9994371829708416	True	tolerance_associated_KO	3.38813903313652	1.6478425328778702e-09	3.21719572405814e-07	True	up_in_TAMR	-0.218511961486958	0.213190876456692	0.593417563421003	-0.82585342494177	0.0868560626957211	0.560098840484709	True	True	4.628708841464	1.512219337124e-07	1.9624773200367e-05	4.48672509713638	6.02496330378383e-07	3.64483302431293e-05	True	True	False	1.16081854043456	0.011471283368127	0.256534373325544	True	0.0039262904407915	0.9949659863945578	0.6407761592349606	0.8457654018179195	0.74327078052644	False	0.9923481847289304	0.9835183814458426	0.9923481847289304	0.955042437270672	5	A	2	3	3	3	0.955042437270672	0.7379107358722783	0.0039262904407915	0.9949659863945578	3	3	0	2	3	3	3	0.9923481847289304	all_up	RNA_RESISTANCE_CONSENSUS	125.0
F8A3	-1.9141933709753545	0.0001890826054922	0.109955077591718	True	sensitising_KO				False		0.424035024328984	0.050330938244908	0.3583937395927	0.724605620162948	0.0672262923679166	0.555576863437654	True	True							False		False				False	0.9983771332844728		0.8596130323585011	0.8814745346991776	0.8705437835288393	False					2	D	0	1	1	2	0.934460458406656	0.934460458406656	0.8705437835288393	0.9983771332844728	0	0	0	0	0	0	0		insufficient	LOW_COVERAGE	
GABBR2	0.1842574992020509	0.5949968823073009	0.9285299753064464	True	tolerance_associated_KO	1.73433298110773	7.80577855331271e-08	4.61442797506191e-06	True	up_in_TAMR							False		4.27267482332268	2.28494769083671e-06	9.6134739832737e-05	3.99727332537971	9.70368664912403e-07	4.8676958819591e-05	True	True	False	2.8974768927314	3.71789870242308e-05	0.0390633924740031	True	0.3594388022196628	0.9834013605442176				False	0.9762847994790254	0.9801134961756724	0.9762847994790254	0.9990734220377304	4	B	3	3	3	3	0.9798430800116216	0.829549596070159	0.3594388022196628	0.9990734220377304	3	3	0	3	3	3	3	0.9834013605442176	all_up	RNA_RESISTANCE_CONSENSUS	11094.0
GFRA1	0.6260486171656119	0.1545930775281771	0.7893096654426276	True	tolerance_associated_KO	-5.16472990661696	6.37237052514868e-12	1.05059148724618e-08	True	down_in_TAMR	-0.232692036062798	0.103312655202453	0.459121539555547	-0.174709120626048	0.553837669799295	0.836821780079378	True	True	-6.51163795906791	1.92733277859046e-07	2.17061711993829e-05	-5.77947563822875	1.42489207395949e-06	6.30499187136749e-05	True	True	False	-6.40699623334473	0.0001535743562726	0.0647800261582162	True	0.8046277876662129	0.9994557823129252	0.775047258979206	0.338262876929736	0.5566550679544711	False	0.9912085526672816	0.9774488033555392	0.9912085526672816	0.9976279604165894	5	A	2	3	3	4	0.9912085526672816	0.869915030203496	0.5566550679544711	0.9994557823129252	3	0	3	2	3	3	3	0.9976279604165894	all_down	RNA_RESISTANCE_CONSENSUS	49.0
GJB2	-0.4107786867013256	0.1673647010807871	0.7909727675032434	True	sensitising_KO	3.81456101188536	1.212210581039e-08	1.29401299291055e-06	True	up_in_TAMR	0.337490302045942	0.0995988330802649	0.454228359179719	0.625937796239969	0.228741444543576	0.648554908640605	True	True	7.19666756148338	1.14452693479149e-07	1.61823228206499e-05	6.82514619469771	8.45861009848165e-08	1.08994524220854e-05	True	True	False	0.950368925454072	0.01749407944746	0.296039070249586	True	0.7892367291383101	0.9908843537414966	0.7811075280773936	0.6475977492425335	0.7143526386599636	False	0.9929994030498724	0.9924006908462868	0.9929994030498724	0.9406619472962456	5	A	2	3	3	3	0.9406619472962456	0.8856270143771777	0.7143526386599636	0.9929994030498724	3	3	0	2	3	3	3	0.9908843537414966	all_up	RNA_RESISTANCE_CONSENSUS	151.0
GREB1	-0.3533095277586469	0.2581044335738207	0.8163859673702398	True	sensitising_KO	-7.14538036307953	3.92575843413266e-13	5.8250403645660415e-09	True	down_in_TAMR	-1.16753809929819	0.0001443281117849	0.0401574753686743	-1.2731126212057	0.0006423443981386	0.421434038647359	True	True	-8.12006079608	4.75734404160909e-09	3.02304606892318e-06	-7.94140156792953	6.688132954048621e-09	3.22718339158927e-06	True	True	False	-4.64120424333962	0.0088229363514546	0.237051976177589	True	0.6839074442466757	1.0	0.9965528744579116	0.998845765401818	0.9976993199298648	False	0.9984804905844684	0.997976807303232	0.9984804905844684	0.9626774396797748	5	A	3	4	4	4	0.9976993199298648	0.9285529388881568	0.6839074442466757	1.0	3	0	3	2	3	3	3	0.9984804905844684	all_down	RNA_RESISTANCE_CONSENSUS	1.0
HLA-DQB1	0.3161325155560064	0.5523489878220377	0.92039532339481	True	tolerance_associated_KO	1.42040464062219	0.0001724145099827	0.0015561353400998	True	up_in_TAMR	0.048426387187672	0.677880307128062	0.893122827972608	0.366800396438443	0.0794633136516907	0.560098840484709	True	True	1.87792948687874	0.0002801767529543	0.0027713887297057	1.2479372112899	0.004843417261776	0.022328638359225	True	True	False	1.95897568565374	4.29419240447451e-05	0.0390633924740031	True	0.399905769029421	0.8889115646258503	0.2410207939508506	0.858966960034627	0.5499938769927388	False	0.8989526238671515	0.7831236121391562	0.8989526238671515	0.998962232682258	5	A	3	3	1	3	0.8889115646258503	0.7473452134394839	0.399905769029421	0.998962232682258	3	3	0	3	3	1	3	0.8989526238671515	all_up	RNA_RESISTANCE_CONSENSUS	20.0
