gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
VEZF1	all_breast_lines	1576	IWP-2	PORCN	WNT signaling	GDSC2	LN_IC50	40	0.3682926829268293	0.019372531382918206	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1143	HG-5-88-01	TAK1, M4K2	Other, kinases	GDSC1	LN_IC50	23	0.48320158102766797	0.019506866607219956	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	329	QL-XI-92	DDR1	Cytoskeleton	GDSC1	LN_IC50	44	0.34954193093727975	0.02003206321203076	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	329	QL-XI-92	DDR1	Cytoskeleton	GDSC1	AUC	44	0.3484143763213531	0.020463712971787135	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1018	Veliparib	PARP1, PARP2	Genome integrity	GDSC2	LN_IC50	45	0.34281949934123845	0.021147649101478306	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1918	AZD8186	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.3421607378129117	0.02141314244040083	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1166	QL-VIII-58	MTOR, ATR	Other	GDSC1	LN_IC50	23	0.475296442687747	0.021901740423313585	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	410	MetAP2 Inhibitor, A832234	MetAP2	Other	GDSC1	AUC	43	-0.34853518574448805	0.021992579708186643	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1585	BDF00022089a	BRPF1, BRPF2, BRPF3	Chromatin histone acetylation	GDSC2	LN_IC50	37	0.3748221906116643	0.022269286012495157	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1614	WZ4003	NUAK1, NUAK2	Other, kinases	GDSC2	LN_IC50	40	0.3604127579737337	0.02233916897650922	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1709	CDK9_5038	CDK9	Cell cycle	GDSC2	LN_IC50	37	0.3738738738738738	0.022637343582945984	higher_expression_more_resistant	0.24814011235152328
VEZF1	all_breast_lines	1496	Cisplatin	DNA crosslinker	DNA replication	GDSC1	LN_IC50	44	0.3422128259337561	0.022979930282347037	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1166	QL-VIII-58	MTOR, ATR	Other	GDSC1	AUC	23	0.47134387351778656	0.023184970046031768	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1198	FY012		Unclassified	GDSC1	AUC	43	0.3450619148293567	0.02344229513598216	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	175	PAC-1	Procaspase-3, Procaspase-7	Apoptosis regulation	GDSC1	AUC	45	-0.3355731225296442	0.024225460696423187	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1916	AZD5363	AKT1, AKT2, AKT3, ROCK2	Other, kinases	GDSC2	AUC	45	0.33372859025032936	0.025066083209039233	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1058	Pictilisib	PI3K (class 1)	PI3K/MTOR signaling	GDSC2	LN_IC50	46	0.32889300030835644	0.025630525109348313	higher_expression_more_resistant	0.26543641178313
VEZF1	all_breast_lines	1444	AZD8186	PI3Kbeta, PI3Kdelta	PI3K/MTOR signaling	GDSC1	LN_IC50	44	0.3361522198731501	0.025684138578978503	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1409	AZD4877	EG5	Mitosis	GDSC1	AUC	44	0.33446088794926	0.026484461309437934	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	155	Ponatinib	ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3	Other, kinases	GDSC1	AUC	44	-0.33403805496828753	0.02668775338822456	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	175	PAC-1	Procaspase-3, Procaspase-7	Apoptosis regulation	GDSC1	LN_IC50	45	-0.3300395256916996	0.02682050278513328	higher_expression_more_sensitive	0.6974884923264675
VEZF1	all_breast_lines	1014	Refametinib	MEK1, MEK2	ERK MAPK signaling	GDSC2	LN_IC50	45	0.3299077733860342	0.026885004857997226	higher_expression_more_resistant	0.26543641178313
VEZF1	all_breast_lines	1053	MK-2206	AKT1, AKT2	PI3K/MTOR signaling	GDSC2	LN_IC50	46	0.3260561208757324	0.027009319093721996	higher_expression_more_resistant	0.26543641178313
VEZF1	all_breast_lines	1379	ZL109	DNA damage	Unclassified	GDSC1	LN_IC50	43	0.33388704318936874	0.028658754129598264	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1252	N23918-95-7	JMJ histone demethylase	Chromatin histone methylation	GDSC1	LN_IC50	42	0.3378170326553764	0.028669094867031862	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1017	Olaparib	PARP1, PARP2	Genome integrity	GDSC1	AUC	43	-0.3335850196315313	0.02881210679142081	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1441	AZD2014	mTORC1, mTORC2	PI3K/MTOR signaling	GDSC2	LN_IC50	37	0.3582266477003319	0.02947732604052445	higher_expression_more_resistant	0.26633897761417336
VEZF1	all_breast_lines	1708	CDK9_5576	CDK9	Cell cycle	GDSC2	LN_IC50	37	0.35775248933143666	0.029708549516263158	higher_expression_more_resistant	0.26633897761417336
VEZF1	all_breast_lines	1196	FY069		Unclassified	GDSC1	LN_IC50	43	0.3317728782845062	0.029746570957970137	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1016	Temsirolimus	MTOR	PI3K/MTOR signaling	GDSC2	LN_IC50	43	0.33147085472666865	0.02990472731106508	higher_expression_more_resistant	0.26633897761417336
VEZF1	all_breast_lines	1578	Leflunomide	Pyrimidine synthesis inhibitor	DNA replication	GDSC2	AUC	40	0.3435272045028143	0.029984842225849597	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	272	AR-42	HDAC1	Chromatin histone acetylation	GDSC1	LN_IC50	45	-0.3238471673254282	0.02999485055928273	higher_expression_more_sensitive	0.6974884923264675
VEZF1	all_breast_lines	208	Ispinesib Mesylate	KSP	Mitosis	GDSC1	LN_IC50	45	0.32226613965744394	0.030853423198804256	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1709	CDK9_5038	CDK9	Cell cycle	GDSC2	AUC	37	0.3549075391180654	0.031127407425492297	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1198	FY012		Unclassified	GDSC1	LN_IC50	43	0.32845061914829354	0.03152490360797593	higher_expression_more_resistant	0.6974884923264675
VEZF1	all_breast_lines	1379	ZL109	DNA damage	Unclassified	GDSC1	AUC	43	0.3266384778012685	0.032531328264465226	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1047	Nutlin-3a (-)	MDM2	p53 pathway	GDSC1	AUC	43	-0.3264874660223498	0.03261637934215742	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1854	MN-64	TNKS1, TNKS2	WNT signaling	GDSC2	LN_IC50	40	0.33808630393996253	0.03286583600475991	higher_expression_more_resistant	0.2838413109501992
VEZF1	all_breast_lines	1053	MK-2206	AKT1, AKT2	PI3K/MTOR signaling	GDSC2	AUC	46	0.3110083256244218	0.035396236165189485	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1708	CDK9_5576	CDK9	Cell cycle	GDSC2	AUC	37	0.3468468468468468	0.0354520301035906	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	208	Ispinesib Mesylate	KSP	Mitosis	GDSC1	AUC	45	0.313965744400527	0.03570135152230814	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1780	GSK3337463A	NIK	Other, kinases	GDSC2	LN_IC50	37	0.3456614509246088	0.03612746409147353	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	2170	AT13148	AKT1	PI3K/MTOR signaling	GDSC2	AUC	45	0.31317523056653485	0.036194039491201965	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1782	GSK2830371A	PPM1D	Other	GDSC2	LN_IC50	37	0.3440018966334755	0.037090657236324515	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1058	Pictilisib	PI3K (class 1)	PI3K/MTOR signaling	GDSC2	AUC	46	0.30607462226333637	0.03857357734447729	higher_expression_more_resistant	0.7750695107134152
VEZF1	all_breast_lines	1931	MIRA-1	TP53	p53 pathway	GDSC2	LN_IC50	45	0.3090909090909091	0.038829437728576464	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1196	FY069		Unclassified	GDSC1	AUC	43	0.3160676532769556	0.03894347726348993	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	1936	Savolitinib	MET	RTK signaling	GDSC2	AUC	45	-0.30869565217391304	0.0390926106351352	higher_expression_more_sensitive	0.7750695107134152
VEZF1	all_breast_lines	1084	Rapamycin	MTORC1	PI3K/MTOR signaling	GDSC2	LN_IC50	45	0.30724637681159417	0.04007010682877391	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1444	AZD8186	PI3Kbeta, PI3Kdelta	PI3K/MTOR signaling	GDSC1	AUC	44	0.3102184637068358	0.04042471797659116	higher_expression_more_resistant	0.7549699577280801
VEZF1	all_breast_lines	272	AR-42	HDAC1	Chromatin histone acetylation	GDSC1	AUC	45	-0.3065876152832674	0.04052098643173311	higher_expression_more_sensitive	0.7549699577280801
VEZF1	all_breast_lines	1048	Mirin	MRE11	Genome integrity	GDSC2	LN_IC50	40	0.32476547842401504	0.04088850304786479	higher_expression_more_resistant	0.2998752916147639
VEZF1	all_breast_lines	1449	AZD1208	PIM1, PIM2, PIM3	Other, kinases	GDSC1	LN_IC50	44	0.30923185341789994	0.0410995134563978	higher_expression_more_resistant	0.7816681519694516
