gene	subset	drug_id	drug_name	target	pathway	dataset	metric	n	spearman_rho	p_value	direction	fdr
USP34	all_breast_lines	1010	Gefitinib	EGFR	EGFR signaling	GDSC2	LN_IC50	45	-0.0544137022397892	0.7225822985385244	higher_expression_more_sensitive	0.9152709114821309
USP34	all_breast_lines	1593	Entinostat	HDAC1, HDAC3	Chromatin histone acetylation	GDSC2	AUC	44	-0.053981677237491185	0.7278255358035143	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	310	YM201636	PIKFYVE	PI3K/MTOR signaling	GDSC1	LN_IC50	45	0.0530961791831357	0.729040970507456	higher_expression_more_resistant	0.8377371849103808
USP34	all_breast_lines	224	AS605240	PI3Kgamma	PI3K/MTOR signaling	GDSC1	LN_IC50	45	0.0530961791831357	0.729040970507456	higher_expression_more_resistant	0.8377371849103808
USP34	all_breast_lines	1414	Fulvestrant	ESR1	Hormone-related	GDSC1	AUC	43	-0.054364240410752045	0.7291611086838775	higher_expression_more_sensitive	0.889555979853291
USP34	all_breast_lines	155	Ponatinib	ABL, PDGFRA, VEGFR2, FGFR1, SRC, TIE2, FLT3	Other, kinases	GDSC1	AUC	44	-0.05327695560253699	0.7312451698794002	higher_expression_more_sensitive	0.889555979853291
USP34	all_breast_lines	1429	IAP_7638	IAP	Other	GDSC1	LN_IC50	44	-0.05327695560253699	0.7312451698794002	higher_expression_more_sensitive	0.8377371849103808
USP34	all_breast_lines	1912	Afuresertib	AKT1, AKT2, AKT3	PI3K/MTOR signaling	GDSC2	AUC	45	-0.05217391304347826	0.7335731345089319	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1052	RO-3306	CDK1	Cell cycle	GDSC2	LN_IC50	44	-0.0525722339675828	0.7346699581114002	higher_expression_more_sensitive	0.9264643277068543
USP34	all_breast_lines	1453	RAF_9304	ARAF, BRAF, CRAF	ERK MAPK signaling	GDSC1	AUC	44	0.05229034531360112	0.7360413029261083	higher_expression_more_resistant	0.8918479683215934
USP34	all_breast_lines	1048	Mirin	MRE11	Genome integrity	GDSC1	AUC	41	-0.05383275261324043	0.7381679511814319	higher_expression_more_sensitive	0.8918479683215934
USP34	all_breast_lines	1052	RO-3306	CDK1	Cell cycle	GDSC2	AUC	44	-0.05144467935165609	0.7401601877088568	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	170	Shikonin	not defined	Other	GDSC1	AUC	44	0.051021846370683584	0.7422223341111723	higher_expression_more_resistant	0.8936382028538326
USP34	all_breast_lines	1069	EHT-1864	RAC1, RAC2, RAC3	Cytoskeleton	GDSC2	AUC	44	-0.051021846370683584	0.7422223341111723	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1785	LMB_AB3	PPP1R15B	Other	GDSC2	AUC	37	-0.05571360834518729	0.7432780022668964	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1012	Vorinostat	HDAC inhibitor Class I, IIa, IIb, IV	Chromatin histone acetylation	GDSC1	AUC	43	-0.05104198127453942	0.7451403057789096	higher_expression_more_sensitive	0.8936382028538326
USP34	all_breast_lines	1821	765771		Unclassified	GDSC2	AUC	37	-0.055002370791844474	0.7464467908534498	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1057	Dactolisib	PI3K (class 1), MTORC1, MTORC2	PI3K/MTOR signaling	GDSC2	AUC	45	-0.04953886693017127	0.746571140358939	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	225	Genentech Cpd 10	AURKA, AURKB	Mitosis	GDSC1	AUC	45	-0.04940711462450593	0.7472229040811706	higher_expression_more_sensitive	0.8936382028538326
USP34	all_breast_lines	208	Ispinesib Mesylate	KSP	Mitosis	GDSC1	LN_IC50	45	-0.048748353096179184	0.7504843302387744	higher_expression_more_sensitive	0.8570046867887939
USP34	all_breast_lines	410	MetAP2 Inhibitor, A832234	MetAP2	Other	GDSC1	AUC	43	0.04968287526427061	0.7517082442851724	higher_expression_more_resistant	0.8959754830873772
USP34	all_breast_lines	1133	Serdemetan	MDM2	p53 pathway	GDSC1	AUC	42	-0.04967182562191071	0.7547454277770703	higher_expression_more_sensitive	0.8965767833324929
USP34	all_breast_lines	1026	Tanespimycin	HSP90	Protein stability and degradation	GDSC2	AUC	45	-0.047694334650856374	0.7557115491478336	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1996	MIM1	MCL1	Apoptosis regulation	GDSC2	LN_IC50	41	-0.04982578397212544	0.7570427855942289	higher_expression_more_sensitive	0.9496806300821423
USP34	all_breast_lines	175	PAC-1	Procaspase-3, Procaspase-7	Apoptosis regulation	GDSC1	LN_IC50	45	-0.04703557312252964	0.7589840639968652	higher_expression_more_sensitive	0.8574854875760676
USP34	all_breast_lines	1175	Rucaparib	PARP1, PARP2	Genome integrity	GDSC1	AUC	42	-0.048699457094238716	0.7594023568957908	higher_expression_more_sensitive	0.8990917536491971
USP34	all_breast_lines	2148	POMHEX		Unclassified	GDSC2	LN_IC50	40	-0.049906191369606015	0.7597445040657139	higher_expression_more_sensitive	0.9496806300821423
USP34	all_breast_lines	362	CI-1033	EGFR, ERBB2, ERBB4	RTK signaling	GDSC1	LN_IC50	44	0.04693446088794925	0.762246442518516	higher_expression_more_resistant	0.8574854875760676
USP34	all_breast_lines	1853	OF-1	BRPF1B, BRPF2	Chromatin histone acetylation	GDSC2	AUC	40	0.04915572232645404	0.7632528754808228	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	329	QL-XI-92	DDR1	Cytoskeleton	GDSC1	LN_IC50	44	0.04665257223396758	0.7636332546837691	higher_expression_more_resistant	0.8574854875760676
USP34	all_breast_lines	1531	I-CBP112	EP300, CBP	Chromatin histone acetylation	GDSC1	LN_IC50	40	-0.048968105065666054	0.7641307011471961	higher_expression_more_sensitive	0.8574854875760676
USP34	all_breast_lines	1372	Trametinib	MEK1, MEK2	ERK MAPK signaling	GDSC1	AUC	42	0.047565027145288076	0.7648460560517769	higher_expression_more_resistant	0.9004423750078913
USP34	all_breast_lines	1915	AZD3759	EGFR	EGFR signaling	GDSC2	LN_IC50	45	-0.045849802371541494	0.7648850613270156	higher_expression_more_sensitive	0.9519311898611329
USP34	all_breast_lines	305	TPCA-1	IKK2	Other, kinases	GDSC1	LN_IC50	45	-0.04571805006587615	0.7655415479997553	higher_expression_more_sensitive	0.8574854875760676
USP34	all_breast_lines	1194	SB505124	TGFBR1, ACVR1B, ACVR1C	RTK signaling	GDSC1	AUC	43	0.046813651464814254	0.7656303810095346	higher_expression_more_resistant	0.9004423750078913
USP34	all_breast_lines	1918	AZD8186	PI3Kalpha, PI3Kbeta	PI3K/MTOR signaling	GDSC2	AUC	45	0.0455862977602108	0.7661981971592996	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1248	Daporinad	NAMPT	Metabolism	GDSC1	LN_IC50	39	-0.048987854251012146	0.7671129851219376	higher_expression_more_sensitive	0.8574854875760676
USP34	all_breast_lines	1784	LMB_AB2	GADD34	Unclassified	GDSC2	AUC	37	0.05026078710289236	0.7676746379063495	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	219	AT-7519	CDK1, CDK2, CDK4, CDK6, CDK9	Cell cycle	GDSC1	LN_IC50	45	-0.04519104084321475	0.7681691152554335	higher_expression_more_sensitive	0.8574854875760676
USP34	all_breast_lines	1066	AZD6482	PIK3CB	PI3K/MTOR signaling	GDSC1	LN_IC50	40	0.0476547842401501	0.7702835735852811	higher_expression_more_resistant	0.8574854875760676
USP34	all_breast_lines	2055	Mycophenolic acid		Unclassified	GDSC2	AUC	41	-0.04668989547038328	0.7719127759434079	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	172	Embelin	XIAP	Apoptosis regulation	GDSC1	AUC	45	-0.04400527009222661	0.7740905041419014	higher_expression_more_sensitive	0.9072547068122458
USP34	all_breast_lines	1780	GSK3337463A	NIK	Other, kinases	GDSC2	AUC	37	-0.04860123281175912	0.7751448284526834	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1835	Elephantin		Unclassified	GDSC2	AUC	37	-0.04860123281175912	0.7751448284526834	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1136	Capivasertib	AKT	PI3K/MTOR signaling	GDSC1	AUC	42	-0.0451341058261081	0.7765485202376003	higher_expression_more_sensitive	0.9072547068122458
USP34	all_breast_lines	1999	N25720-51-A1		Unclassified	GDSC2	AUC	41	0.0456445993031359	0.7768876763839239	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1706	AZD5153	BRD4	Chromatin other	GDSC2	AUC	37	-0.0476529160739687	0.7794225094504947	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	2158	CPI-637	EP300	Chromatin histone methylation	GDSC2	LN_IC50	40	0.04559099437148219	0.7799803409627332	higher_expression_more_resistant	0.9614384577853092
USP34	all_breast_lines	1624	I-BET-762	BRD2, BRD3, BRD4	Chromatin other	GDSC2	AUC	40	-0.04559099437148219	0.7799803409627332	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	1782	GSK2830371A	PPM1D	Other	GDSC2	AUC	37	0.04717875770507349	0.7815637567772762	higher_expression_more_resistant	0.9726885182599289
USP34	all_breast_lines	1733	ULK1_4989	ULK1	Other, kinases	GDSC2	AUC	37	-0.04717875770507349	0.7815637567772762	higher_expression_more_sensitive	0.9726885182599289
USP34	all_breast_lines	170	Shikonin	not defined	Other	GDSC1	LN_IC50	44	0.04298801973220578	0.7817268778692881	higher_expression_more_resistant	0.8674962845320626
USP34	all_breast_lines	1375	Temozolomide	DNA alkylating agent	DNA replication	GDSC2	LN_IC50	45	0.04242424242424242	0.7820053998315754	higher_expression_more_resistant	0.9614384577853092
USP34	all_breast_lines	1069	EHT-1864	RAC1, RAC2, RAC3	Cytoskeleton	GDSC2	LN_IC50	44	-0.04242424242424242	0.7845209096016936	higher_expression_more_sensitive	0.9614384577853092
USP34	all_breast_lines	1129	PF-4708671	S6K1	PI3K/MTOR signaling	GDSC1	AUC	42	0.04335143019204278	0.7851616027132915	higher_expression_more_resistant	0.9143000242121881
