gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count	subnetwork_role
PSMC5	resistance_gene	multimodal_pathway_driver	-0.2481315955117793	0.907095381656094	nonsignificant_sensitising_direction	-0.310001671283045	0.109221330961253	0.485837412273738	0.425599508675059	-0.41245650679422	0.428866061937622	-0.121455694398398	0.555611069787337	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	0	second_degree_connector
PTEN	crispr_tolerance_associated	crispr_tolerance	3.3317870701317656	2.2317000159876773e-07	tolerance_associated_KO	-0.39072867283774	0.0738932933249503	-0.381673919910069	0.20760000996125	0.243969577554325	0.515664085755769	-0.154170795215578	0.460201654467793	no_significant_resistance_dataset	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_MATRIX_ADHESION;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION	43	False	0	second_degree_connector
RPS27A	candidate_partner	candidate_string_partner	-0.7450982898956067	0.8270560220965696	nonsignificant_sensitising_direction	0.323544562467569	0.144254073101191	0.644670935235638	0.310491715201749	-0.0903867295363118	0.823113332890811	0.0058003693585594	0.98740754078825	no_significant_resistance_dataset	reactome:REACTOME_CELL_CYCLE_CHECKPOINTS;reactome:REACTOME_CELL_CYCLE_MITOTIC;reactome:REACTOME_M_PHASE	3	False	1	second_degree_connector
SMAD3	leading_edge	resistance_leading_edge	0.8122212460926619	0.6847632537957313	nonsignificant_tolerance_direction	1.51219307987691	0.0002349393222842	1.99774418097056	0.0009670812322399	0.15093137101413	0.705323903644257	-0.0871192683300797	0.757131844951915	consistent_up_(2/3_significant)	go_bp:GOBP_ACTOMYOSIN_STRUCTURE_ORGANIZATION;go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CARTILAGE_DEVELOPMENT	93	True	1	direct_partner
SMC3	resistance_gene	multimodal_pathway_driver	0.5579938567968679	0.7993240766252737	nonsignificant_tolerance_direction	-0.618718527700953	0.0140896524972985	-0.93770264588787	0.101240137942883	-0.188939662303464	0.669657924280912	0.0251268025861394	0.922362433561115	consistent_down_(1/3_significant)	go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_SISTER_CHROMATID_SEGREGATION;hallmark:HALLMARK_E2F_TARGETS;reactome:REACTOME_CELL_CYCLE_MITOTIC	10	False	0	second_degree_connector
SOX2	crispr_tolerance_associated	crispr_tolerance	1.5125795984924384	0.012231538169301	tolerance_associated_KO	0.689938479322989	0.009274260760025	7.44086437435914	5.59971704623335e-05	0.885804950531392	0.631863307812325	-0.334393694467966	0.694290309090563	consistent_up_(2/3_significant)	go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_DIENCEPHALON_DEVELOPMENT;go_bp:GOBP_EAR_DEVELOPMENT;go_bp:GOBP_EMBRYONIC_MORPHOGENESIS	25	True	0	second_degree_connector
SRC	resistance_gene	multimodal_pathway_driver	-0.5979267823846772	0.7616616496167914	nonsignificant_sensitising_direction	0.851647540552532	0.0254797147968125	1.09424158534684	0.0156444852879086	-0.359460051379471	0.426518561242351	-0.0790412169998612	0.763752605325226	consistent_up_(2/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BRANCHING_MORPHOGENESIS_OF_AN_EPITHELIAL_TUBE;go_bp:GOBP_CANONICAL_WNT_SIGNALING_PATHWAY	65	True	0	second_degree_connector
TFAP2A	candidate_partner	candidate_string_partner	0.4091479872194234	0.7893096654426276	nonsignificant_tolerance_direction	0.364392541640187	0.188573537548283	0.527346856863456	0.275431332984545	0.656848019563621	0.426888856266438	-0.208899081601285	0.374086380007989	no_significant_resistance_dataset	go_bp:GOBP_BIOMINERAL_TISSUE_DEVELOPMENT;go_bp:GOBP_BONE_DEVELOPMENT;go_bp:GOBP_BONE_MINERALIZATION;go_bp:GOBP_BONE_MORPHOGENESIS;go_bp:GOBP_EAR_DEVELOPMENT	26	False	1	direct_partner
TFAP2B	candidate_partner	candidate_string_partner	0.0679962722027145	0.9731795120896176	nonsignificant_tolerance_direction					0.219231050744736	0.90614933879565	-0.4985260648851	0.320381901712205	no_significant_resistance_dataset		0	False	1	direct_partner
TFAP2C	multiple	candidate_string_partner,crispr_tolerance	1.5406554782432211	0.0482149029216125	tolerance_associated_KO	-1.09359983284206	0.0009588641192333	-0.231167140057674	0.460880649003454	-0.541646684135955	0.376029940461807	-0.420914341193197	0.161767538996686	consistent_down_(1/3_significant)	hallmark:HALLMARK_ESTROGEN_RESPONSE_EARLY;hallmark:HALLMARK_ESTROGEN_RESPONSE_LATE	2	False	1	direct_partner
