gene	node_class	node_category_raw	crispr_effect	crispr_fdr	crispr_direction	gse118713_log2fc	gse118713_fdr	gse240112_log2fc	gse240112_fdr	gse111151_log2fc	gse111151_fdr	gse245601_acute_log2fc	gse245601_acute_fdr	resistance_pattern	pathways_supported	number_consensus_pathways	human_tumor_support	candidate_connection_count
DUSP6	resistance_gene	multimodal_pathway_driver	0.8905900506678996	0.6107307410570448	nonsignificant_tolerance_direction	4.25550460745099	1.77878329814339e-06	7.238524294268	4.51316487499486e-05	0.531210949146612	0.358567159023245	-0.158781287983854	0.450334681619115	consistent_up_(2/3_significant)	go_bp:GOBP_ERK1_AND_ERK2_CASCADE;go_bp:GOBP_HEART_DEVELOPMENT;go_bp:GOBP_NEGATIVE_REGULATION_OF_MAPK_CASCADE;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORUS_METABOLIC_PROCESS;go_bp:GOBP_NEGATIVE_REGULATION_OF_PHOSPHORYLATION	11	True	0
EFNA1	leading_edge	resistance_leading_edge	0.4044188809500619	0.7930869572944422	nonsignificant_tolerance_direction	0.993752019982719	0.0024142060292581	0.977489054138699	0.0852543712842727	0.254401080032412	0.608537894373376	0.20337267074987	0.389929053289146	consistent_up_(1/3_significant)	go_bp:GOBP_AMEBOIDAL_TYPE_CELL_MIGRATION;go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SUBSTRATE_ADHESION	30	False	0
EIF4ENIF1	crispr_sensitiser	crispr_sensitiser	-1.5506541534723943	0.0372575660229722	sensitising_KO	0.53145903933498	0.0529761966227399	0.0629475872692003	0.863278728164698	-0.128950200396878	0.72170580070892	-0.0618984390937733	0.839383757340375	no_significant_resistance_dataset		0	False	0
EML5	candidate	candidate	-1.058423339442026	0.1487732844800642	nonsignificant_sensitising_direction	0.962489709016966	0.0001290115895092	1.05902954912775	0.0399954257666563	0.404678152880988	0.462341633396696	0.630181402620734	0.385544026046219	consistent_up_(2/3_significant)		0	True	0
EP300	candidate_partner	candidate_string_partner	-0.5643086933317267	0.6009826181172715	nonsignificant_sensitising_direction	0.102286244397691	0.78425803932485	0.65590510190885	0.0421615383852104	0.0844410079597948	0.857510120715073	-0.059754915740188	0.842311852421359	consistent_up_(1/3_significant)	go_bp:GOBP_BODY_MORPHOGENESIS;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_FACE_MORPHOGENESIS;go_bp:GOBP_FAT_CELL_DIFFERENTIATION	17	True	1
EPAS1	candidate_partner	candidate_string_partner	0.149728728535667	0.9243328570351124	nonsignificant_tolerance_direction	5.9473037686576	6.14437686554197e-08	7.49755691339593	5.33238730658102e-05	1.54018987568339	0.0163651497737581	0.0142550208886947	0.967437750215697	consistent_up_(3/3_significant)	go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_BLOOD_VESSEL_REMODELING;go_bp:GOBP_CELL_FATE_COMMITMENT;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_EMBRYONIC_ORGAN_DEVELOPMENT	14	True	1
EPHB2	resistance_gene	multimodal_pathway_driver	0.0135117546844094	0.9974116242487912	nonsignificant_tolerance_direction	0.850110914346152	0.0168042930958601	0.213593416005765	0.610771258528677	1.08200891762965	0.263827882639937	0.0436876235796978	0.924171221986047	consistent_up_(1/3_significant)	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELLULAR_RESPONSE_TO_LIPID;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY	45	False	0
ERBB2	leading_edge	resistance_leading_edge	-0.2668258270894617	0.9069837166072832	nonsignificant_sensitising_direction	0.848569376307428	0.0216689648544955	1.33757496221895	0.0220418683575731	0.414408403398424	0.372124837275554	-0.123307570459658	0.555235564647763	consistent_up_(2/3_significant)	go_bp:GOBP_AXON_DEVELOPMENT;go_bp:GOBP_BLOOD_VESSEL_MORPHOGENESIS;go_bp:GOBP_CELL_MORPHOGENESIS_INVOLVED_IN_NEURON_DIFFERENTIATION;go_bp:GOBP_CELL_SURFACE_RECEPTOR_PROTEIN_TYROSINE_KINASE_SIGNALING_PATHWAY;go_bp:GOBP_ENSHEATHMENT_OF_NEURONS	30	True	1
ESPL1	resistance_gene	multimodal_pathway_driver	0.3088415295173412	0.8430887151318937	nonsignificant_tolerance_direction	-0.761350801023402	0.0090672240522872	-1.35475385665591	0.22226074660695	-0.168629210960022	0.843788430985022	-0.288000257577652	0.654497940232045	consistent_down_(1/3_significant)	go_bp:GOBP_CHROMOSOME_SEPARATION;go_bp:GOBP_MITOTIC_SISTER_CHROMATID_SEGREGATION;go_bp:GOBP_NUCLEAR_CHROMOSOME_SEGREGATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_ORGANIZATION;go_bp:GOBP_REGULATION_OF_CHROMOSOME_SEGREGATION	11	False	0
F2RL1	leading_edge	resistance_leading_edge	0.5537622949888217	0.7616616496167914	nonsignificant_tolerance_direction	2.66780133730202	0.0001314805005276	1.18995299543021	0.0112010296751116	0.78998191481929	0.396426730712297	-0.157592861793179	0.585082379669829	consistent_up_(2/3_significant)	go_bp:GOBP_BIOLOGICAL_PROCESS_INVOLVED_IN_SYMBIOTIC_INTERACTION;go_bp:GOBP_CELLULAR_COMPONENT_DISASSEMBLY;go_bp:GOBP_CELL_CHEMOTAXIS;go_bp:GOBP_CIRCULATORY_SYSTEM_PROCESS;go_bp:GOBP_DENDRITIC_CELL_DIFFERENTIATION	36	True	0
